experiment,seed_count,evaluation_budget,full_ndu_joint,fixed_pref_recurrent_rl,oracle_joint_action_rl,preference_only,leader,second_best,full_minus_best_non_ndu
exp2,4,360,0.010543596713193208,-0.016281261341909693,-0.018031668348768581,-0.0028504520708010949,full_ndu_joint,-0.0028504520708010949,0.013394048783994302
exp2,4,748,0.011306921566701605,0.00062110525005206201,-0.018031668348768581,0.0067051134355224909,full_ndu_joint,0.0067051134355224909,0.0046018081311791142
exp2,4,2244,0.011432902299264421,0.00062110525005206201,-0.018031668348768581,0.0067051134355224909,full_ndu_joint,0.0067051134355224909,0.0047277888637419297
