experiment,seed_count,evaluation_budget,full_ndu_joint,fixed_pref_rl,augmented_state_rl,preference_only,leader,second_best,full_minus_best_non_ndu
exp1,4,192,-2.7400437896696612,-2.7526786420030218,-2.7567354417627477,-2.7674941120019549,full_ndu_joint,-2.7526786420030218,0.012634852333360591
exp1,4,352,-2.7304098992969106,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549,full_ndu_joint,-2.7526786420030218,0.022268742706111233
exp1,4,828,-2.7212459947841761,-2.7526786420030218,-2.7540737559976094,-2.7674941120019549,full_ndu_joint,-2.7526786420030218,0.031432647218845755
