experiment,method,seed_count,param_dim,evaluation_budget,adaptation_lag,adaptation_lag_se,best_in_search_utility,best_in_search_utility_se,cew,cew_se,mean_utility,mean_utility_se,ruin_prob,ruin_prob_se,surplus_ratio,surplus_ratio_se,wealth_terminal,wealth_terminal_se,max_drawdown,max_drawdown_se,regime_detection_acc,regime_detection_acc_se,sharpe,sharpe_se,theta_stability,theta_stability_se,turnover,turnover_se
exp1,full_ndu_joint,30,15,828,0.5,0.0,-2.7259958364168986,0.0013386931506024944,-0.9347292087682798,6.80424121014401e-05,-2.729226474117517,0.0010460715404595406,1.0,0.0,0.0,0.0,1.030055606980746,0.0024957260748128224,,,,,,,,,,
exp1,same_dim_augmented_state_rl,30,15,828,0.5,0.0,-2.753925636680301,0.001330600420231267,-0.9365297820999985,7.34498891965628e-05,-2.757204055181056,0.001163693062260724,1.0,0.0,0.0,0.0,1.0333347280024456,0.0027266183469100845,,,,,,,,,,
exp1,same_dim_fixed_orig_rl,30,15,828,0.5,0.0,-2.7527238107327445,0.0014646048628006085,-0.9364750261083115,7.510951687126533e-05,-2.7563425748354864,0.001188642145141768,1.0,0.0,0.0,0.0,1.0373578723332193,0.002959836307478716,,,,,,,,,,
exp1,same_dim_preference_backbone,30,15,828,0.5,0.0,-2.7523919129302046,0.0009498721739392808,-0.9363756076007466,5.993242278733822e-05,-2.754771242229429,0.0009432029861339492,1.0,0.0,0.0,0.0,0.9720993090104657,0.001936188409190619,,,,,,,,,,
exp2,full_ndu_joint,30,18,2244,0.5,0.0,0.011271687436110572,2.138482285085246e-05,0.011319119634228462,1.8190343450265888e-05,0.011255533052512336,1.7987157431200457e-05,,,,,,,-1.843211405848284e-05,1.4219015788425582e-05,0.6047227647569444,0.0017552403483310005,1.4433550836380207,0.0004086390401807598,,,,
exp2,same_dim_fixed_pref_recurrent_rl,30,18,2244,0.49973958333333335,0.0001548216563359076,0.011578549569895272,4.6066648996139235e-05,0.01132107138528724,4.4248448287197586e-05,0.011257439885903582,4.3758239277868715e-05,,,,,,,-0.00034699966197559713,9.993025623640754e-05,0.6040418836805556,0.0019029497888776745,1.4250802396146085,0.005999499083266052,,,,
exp2,same_dim_oracle_joint_action_rl,30,18,2244,0.1867757161458333,0.0022912700619473476,-0.1118579480815122,0.0010482949070239028,-0.10627753948659718,0.0011848003318813858,-0.11238555869427717,0.0013286901450319999,,,,,,,-0.07306701837412068,0.0005496066873098718,1.0,0.0,0.4572384192470349,0.01269910050876851,,,,
exp2,same_dim_preference_backbone,30,18,2244,0.5,0.0,0.01128168808910518,2.320775042890463e-05,0.011315128888622643,1.960969747657424e-05,0.011251586204293987,1.9391465378040884e-05,,,,,,,-3.726291586883737e-05,2.7527661470176714e-05,0.6046902126736111,0.0017594836693149158,1.4413253921110372,0.001456115735245458,,,,
exp3,full_ndu_joint,30,19,1242,,,0.12456212833548444,0.002555507994308253,0.12254018640732275,0.001903169630710491,0.11555230836346254,0.001700109097917054,,,,,,,-0.06529952281142702,0.00047057812714577035,,,1.459693808959817,0.014872818556933006,0.018163836311003875,0.0011950220830866394,0.22192773007886946,0.003988164176906195
exp3,same_dim_fixed_pref_joint_rl,30,19,1242,,,0.1122146072280122,0.002331934452447034,0.10883000141616543,0.0015167377365643243,0.10327816602212475,0.0013720429542808203,,,,,,,-0.06491703506155551,0.0003142789455317461,,,1.442886622702457,0.014232754427311723,0.0,0.0,0.3347130279974792,0.0035616295520738816
exp3,same_dim_oracle_factor_joint_rl,30,19,1242,,,0.12461260612874676,0.0024392712460292723,0.12405765793596786,0.0013684172542853669,0.11692348139161297,0.0012206380441717951,,,,,,,-0.05979733068812068,0.0004200046684795745,,,1.6074930029891172,0.012446197122564711,0.0,0.0,0.3216468705869207,0.0022814580486459606
exp3,same_dim_signal_only_joint_rl,30,19,1242,,,0.1023000397292897,0.002476066315146522,0.10140511892388239,0.0013184058010964716,0.09656591955896701,0.0011991635883399582,,,,,,,-0.06250102106851704,0.00033331544335687984,,,1.421602657399304,0.012601200255481282,0.0,0.0,0.32900823241754623,0.0023171791643660663
