experiment,method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,theta_std,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability,mean_welfare,avg_cost,avg_cost_no_theta,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count
exp1_habit_portfolio,nbo_full_ndu,20290512,-2.802003338560301,-0.9393116385730392,0.0,0.08068801049578599,0.5,0.8570860690143126,8.513962243922041e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290513,-2.783655995796982,-0.9381878910368632,0.0,0.08108035915419295,0.5,0.8725814088536014,8.238341684192647e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290514,-2.798147201923208,-0.9390771641669704,0.0,0.08076893000289434,0.5,0.8604678772471458,8.351554223482494e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290515,-2.81135335908132,-0.9398764314705315,0.0,0.08045206138045996,0.5,0.8512174190239848,8.708673077520803e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290516,-2.797204030763202,-0.9390196763990861,0.0,0.08070748239033584,0.5,0.8647667664488143,8.363204399093485e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290517,-2.8055967498246623,-0.9395293254611066,0.0,0.08059603503369282,0.5,0.8542590538497598,8.595808672558649e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290518,-2.8003397443807603,-0.9392105937427114,0.0,0.08064696786111412,0.5,0.8627441227731434,8.54197685576304e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290519,-2.7903244291971765,-0.9385987096880459,0.0,0.08092826035784892,0.5,0.8674820447081963,8.157622750478989e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290520,-2.812850547708308,-0.9399663804414573,0.0,0.08031506511939654,0.5,0.8539883452516944,8.573991353176431e-08,,,,,,,,,,,,,
exp1_habit_portfolio,nbo_full_ndu,20290521,-2.7864987850344107,-0.9383633603057213,0.0,0.08106573611976509,0.5,0.8678478840235361,8.272310066414539e-08,,,,,,,,,,,,,
