experiment,method,seed_index,seed,param_dim,iterations,population,evaluation_budget,best_in_search_utility,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,sharpe,max_drawdown,regime_detection_acc,turnover,theta_stability
exp1,full_ndu_joint,1,1111,15,18,46,828,-2.7196329148116,-2.72823936001438,-0.9346657814981876,1.0,0.0,0.5,1.033890757046489,,,,,
exp1,full_ndu_joint,2,2111,15,18,46,828,-2.729386469407919,-2.7492774856700937,-0.9360259333074376,1.0,0.0,0.5,0.9933218648333031,,,,,
exp1,full_ndu_joint,3,3111,15,18,46,828,-2.7182376378790023,-2.729905819790954,-0.934774567676284,1.0,0.0,0.5,1.0291625365313952,,,,,
exp1,full_ndu_joint,4,4111,15,18,46,828,-2.729649237231728,-2.72310984393621,-0.9343297875675136,1.0,0.0,0.5,1.041704651286636,,,,,
exp1,full_ndu_joint,5,5111,15,18,46,828,-2.7271452949324155,-2.7325577708316153,-0.934947313171873,1.0,0.0,0.5,1.0257558023296318,,,,,
exp1,full_ndu_joint,6,6111,15,18,46,828,-2.7228741827770104,-2.726262508518611,-0.9345364977052905,1.0,0.0,0.5,1.0335939901233961,,,,,
exp1,full_ndu_joint,7,7111,15,18,46,828,-2.7202710484617896,-2.724834023528439,-0.9344429172516348,1.0,0.0,0.5,1.0428953883217738,,,,,
exp1,full_ndu_joint,8,8111,15,18,46,828,-2.7311637922582324,-2.725550558214184,-0.9344898743501162,1.0,0.0,0.5,1.0360338194850305,,,,,
exp1,full_ndu_joint,9,9111,15,18,46,828,-2.733225686685977,-2.7276911720931927,-0.9346299562501776,1.0,0.0,0.5,1.0307411620614733,,,,,
exp1,full_ndu_joint,10,10111,15,18,46,828,-2.7216321759093023,-2.7277703209825397,-0.9346351300117856,1.0,0.0,0.5,1.0348418901694303,,,,,
exp1,full_ndu_joint,11,11111,15,18,46,828,-2.7176511531276337,-2.7254353371906856,-0.9344823257715202,1.0,0.0,0.5,1.0400642000632043,,,,,
exp1,full_ndu_joint,12,12111,15,18,46,828,-2.707981063193114,-2.7212353469026684,-0.9342065735029962,1.0,0.0,0.5,1.0512564524959676,,,,,
exp1,full_ndu_joint,13,13111,15,18,46,828,-2.735935241749781,-2.7301418290016737,-0.9347899596626887,1.0,0.0,0.5,1.0201124126795795,,,,,
exp1,full_ndu_joint,14,14111,15,18,46,828,-2.7277432217893565,-2.7288996835528274,-0.9347089089799177,1.0,0.0,0.5,1.02734286982143,,,,,
exp1,full_ndu_joint,15,15111,15,18,46,828,-2.7268898120070366,-2.735262682421063,-0.9351230371723154,1.0,0.0,0.5,1.0167379874188813,,,,,
exp1,full_ndu_joint,16,16111,15,18,46,828,-2.7380445277392185,-2.7308984413323456,-0.934839279722856,1.0,0.0,0.5,1.019831979454782,,,,,
exp1,full_ndu_joint,17,17111,15,18,46,828,-2.7109318647200933,-2.725873165189107,-0.9345110049649539,1.0,0.0,0.5,1.0407136813737008,,,,,
exp1,full_ndu_joint,18,18111,15,18,46,828,-2.7262703302465376,-2.731721697920813,-0.9348929016398067,1.0,0.0,0.5,1.0241484688223574,,,,,
exp1,full_ndu_joint,19,19111,15,18,46,828,-2.7301592326514905,-2.7249643615727375,-0.9344514612767723,1.0,0.0,0.5,1.0368802997762718,,,,,
exp1,full_ndu_joint,20,20111,15,18,46,828,-2.738432946460701,-2.7387094588876746,-0.9353462686255511,1.0,0.0,0.5,0.9983544010279253,,,,,
exp1,full_ndu_joint,21,21111,15,18,46,828,-2.7317345158789164,-2.727390790642203,-0.9346103173521522,1.0,0.0,0.5,1.0363350129598243,,,,,
exp1,full_ndu_joint,22,22111,15,18,46,828,-2.725814665480174,-2.7334811227919245,-0.9350073519750401,1.0,0.0,0.5,1.025430239491029,,,,,
exp1,full_ndu_joint,23,23111,15,18,46,828,-2.723346709964698,-2.7330391805330745,-0.9349786226294751,1.0,0.0,0.5,1.019261441139116,,,,,
exp1,full_ndu_joint,24,24111,15,18,46,828,-2.7266099794553558,-2.7318460841926777,-0.9349009995653977,1.0,0.0,0.5,1.0219546465513627,,,,,
exp1,full_ndu_joint,25,25111,15,18,46,828,-2.734009423170588,-2.730977895277758,-0.9348444567934958,1.0,0.0,0.5,1.0235522543101618,,,,,
exp1,full_ndu_joint,26,26111,15,18,46,828,-2.725288075332028,-2.7251290725339894,-0.9344622569504867,1.0,0.0,0.5,1.041185297452452,,,,,
exp1,full_ndu_joint,27,27111,15,18,46,828,-2.7178235809862112,-2.7284781010094736,-0.9346813775927387,1.0,0.0,0.5,1.0314361921414348,,,,,
exp1,full_ndu_joint,28,28111,15,18,46,828,-2.7280960080684906,-2.732303717517221,-0.9349307842216457,1.0,0.0,0.5,1.0244793325789383,,,,,
exp1,full_ndu_joint,29,29111,15,18,46,828,-2.7329748591340155,-2.7282549137135854,-0.9346667976790672,1.0,0.0,0.5,1.0388837632351486,,,,,
exp1,full_ndu_joint,30,30111,15,18,46,828,-2.720919440996544,-2.717552477761768,-0.9339638181792156,1.0,0.0,0.5,1.061765414440257,,,,,
exp1,same_dim_augmented_state_rl,1,1111,15,18,46,828,-2.7486153315483706,-2.757742190227711,-0.9365651694243908,1.0,0.0,0.5,1.0317720253739346,,,,,
exp1,same_dim_augmented_state_rl,2,2111,15,18,46,828,-2.7582866664137464,-2.78117809284219,-0.9380345367093171,1.0,0.0,0.5,0.9905025416839041,,,,,
exp1,same_dim_augmented_state_rl,3,3111,15,18,46,828,-2.7451284201769854,-2.7573136118013624,-0.9365379767978568,1.0,0.0,0.5,1.0324208973324827,,,,,
exp1,same_dim_augmented_state_rl,4,4111,15,18,46,828,-2.756070851288356,-2.748254107562242,-0.9359604301365754,1.0,0.0,0.5,1.0557609484503097,,,,,
exp1,same_dim_augmented_state_rl,5,5111,15,18,46,828,-2.755830101290837,-2.761690664253178,-0.9368151463667257,1.0,0.0,0.5,1.0256124619578058,,,,,
exp1,same_dim_augmented_state_rl,6,6111,15,18,46,828,-2.7487603985511297,-2.753502192975488,-0.9362956349080487,1.0,0.0,0.5,1.0401581380097435,,,,,
exp1,same_dim_augmented_state_rl,7,7111,15,18,46,828,-2.746650458598405,-2.752139170370331,-0.9362087452155259,1.0,0.0,0.5,1.0531730010126694,,,,,
exp1,same_dim_augmented_state_rl,8,8111,15,18,46,828,-2.7586594496916956,-2.7521922325363493,-0.9362121300278743,1.0,0.0,0.5,1.0409082796930296,,,,,
exp1,same_dim_augmented_state_rl,9,9111,15,18,46,828,-2.7594285354262293,-2.752797924746508,-0.9362507541454745,1.0,0.0,0.5,1.039923230937915,,,,,
exp1,same_dim_augmented_state_rl,10,10111,15,18,46,828,-2.751169130495074,-2.7564740365274782,-0.9364846732793186,1.0,0.0,0.5,1.032207449235367,,,,,
exp1,same_dim_augmented_state_rl,11,11111,15,18,46,828,-2.746662853524205,-2.755733262031227,-0.936437605313941,1.0,0.0,0.5,1.0392916746911733,,,,,
exp1,same_dim_augmented_state_rl,12,12111,15,18,46,828,-2.741184238772794,-2.753836694729283,-0.9363169405663077,1.0,0.0,0.5,1.0400324774873848,,,,,
exp1,same_dim_augmented_state_rl,13,13111,15,18,46,828,-2.764762254946609,-2.757767653715483,-0.9365667846758585,1.0,0.0,0.5,1.0253093959602768,,,,,
exp1,same_dim_augmented_state_rl,14,14111,15,18,46,828,-2.756966275050475,-2.7583074069883264,-0.9366010137229855,1.0,0.0,0.5,1.0281439107791435,,,,,
exp1,same_dim_augmented_state_rl,15,15111,15,18,46,828,-2.7514016540283133,-2.757336132875056,-0.9365394060146642,1.0,0.0,0.5,1.0327176801095963,,,,,
exp1,same_dim_augmented_state_rl,16,16111,15,18,46,828,-2.7664712315563764,-2.7595515389114738,-0.9366798413795381,1.0,0.0,0.5,1.0210337509076046,,,,,
exp1,same_dim_augmented_state_rl,17,17111,15,18,46,828,-2.7352237401646864,-2.7530790459213885,-0.9362686728895797,1.0,0.0,0.5,1.052501140028013,,,,,
exp1,same_dim_augmented_state_rl,18,18111,15,18,46,828,-2.7567236722656476,-2.7610704359567917,-0.9367759451770125,1.0,0.0,0.5,1.0203607249251117,,,,,
exp1,same_dim_augmented_state_rl,19,19111,15,18,46,828,-2.759730489449273,-2.7539749170060195,-0.9363257423754551,1.0,0.0,0.5,1.038721072825413,,,,,
exp1,same_dim_augmented_state_rl,20,20111,15,18,46,828,-2.7678705255283917,-2.768413867236462,-0.9372385261343323,1.0,0.0,0.5,0.998391676331234,,,,,
exp1,same_dim_augmented_state_rl,21,21111,15,18,46,828,-2.7586154950981023,-2.753934770735827,-0.9363231860401908,1.0,0.0,0.5,1.0397085502057997,,,,,
exp1,same_dim_augmented_state_rl,22,22111,15,18,46,828,-2.75470781381341,-2.7624726863302005,-0.9368645390016177,1.0,0.0,0.5,1.0273089959292974,,,,,
exp1,same_dim_augmented_state_rl,23,23111,15,18,46,828,-2.745796504982524,-2.760217120997785,-0.9367219721205298,1.0,0.0,0.5,1.0293545660987853,,,,,
exp1,same_dim_augmented_state_rl,24,24111,15,18,46,828,-2.7549367025236555,-2.760472335221685,-0.9367381195126951,1.0,0.0,0.5,1.021043252089021,,,,,
