experiment,method,iteration,loss_perf,hjb_loss,terminal_loss,residual_mean_abs,mean_hamiltonian,mean_action,omega,algorithm,backend,initialization,ad_terms
exp1_habit_portfolio,nbo_fixed_pref,180,43.741847289371094,3103.7942369861626,72.89724649891694,45.79969275347249,-43.741847289371094,0.350709;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_fixed_pref,225,46.82287096256391,3171.428996180041,78.72879476403817,48.199654770226694,-46.82287096256391,0.350142;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_fixed_pref,270,41.46879665864427,2722.156901092643,85.31866194374373,38.85084094789476,-41.46879665864427,0.348106;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_fixed_pref,315,43.2206780133399,3760.794977714408,79.53477536472109,40.18125817579329,-43.2206780133399,0.345978;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_fixed_pref,360,36.26480242963638,3041.2516264337773,80.84097153220695,33.141444323930855,-36.26480242963638,0.345703;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_fixed_pref,405,44.21790149169677,4140.423137739581,97.82611259066375,55.422591998745396,-44.21790149169677,0.352509;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_fixed_pref,450,34.17371549676951,2254.5754338367665,75.86235866239242,30.15655258259559,-34.17371549676951,0.346538;0.169986;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,1,84.0748999216196,9193.111482634815,0.09095357187917162,84.05748539648134,-84.0748999216196,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,45,81.76980945513368,8480.53445690616,3.6582459744658067,78.90529034822059,-81.76980945513368,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,90,82.62892709501996,6635.52390412614,30.451778319558525,72.62114875980303,-82.62892709501996,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,135,84.6818121375478,6600.6527421765795,61.811763887207235,72.77056346706985,-84.6818121375478,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,180,83.24925763658663,5344.560167994462,109.72240342901631,65.82144231573835,-83.24925763658663,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
exp1_habit_portfolio,nbo_preference_only,225,80.15751937682971,4017.394326833917,150.093679837757,58.691808841335806,-80.15751937682971,0.55;0.07;0.25,1.0,hbo_full_actor_critic_pytorch_ad,torch-2.11.0+cpu,safe_constant_bias_random_mlp_no_bellman_pretraining,V_t_gradV_exact_state_Hessian_and_actor_Hamiltonian_gradients
