config,n,delta_eval_score,delta_eval_score_ci95,delta_mean_welfare,delta_mean_welfare_ci95,delta_mean_welfare_no_theta_cost,delta_mean_welfare_no_theta_cost_ci95,delta_avg_cost_no_theta,delta_avg_cost_no_theta_ci95,delta_fill_rate,delta_fill_rate_ci95,delta_ending_backlog,delta_ending_backlog_ci95,delta_service_breach_count,delta_service_breach_count_ci95,delta_theta_std,delta_theta_std_ci95,delta_theta_mean_abs_deviation_from_one,delta_theta_mean_abs_deviation_from_one_ci95,physical_guard_pass,policy_evaluations,objective,claim_status
welfare_1152,12,0.007209412576402507,0.007611638135048212,0.007209412576402507,0.007611638135048212,0.008397218186861935,0.007597179421506253,0.01300814590007778,0.009336667486481065,-1.179076883953134e-05,2.7420273645613735e-05,-0.010756765685379699,0.02453970080463928,-0.15055338541666666,0.08259413181588254,0.0868878849437697,0.022766736524850395,0.13922489962296172,0.02428901740175698,False,1152,screening,screening_mixed
physical_guarded_1152,12,0.008341163417349437,0.010136580321767752,0.010433507569725683,0.010909507197829797,0.011748207007984068,0.010704553856810527,0.015477926790677573,0.01251323051803439,-7.230597836730783e-06,2.733226232425251e-05,-0.006394179493119427,0.024873905079765793,-0.12239583333333333,0.08519560168853957,0.08821034354615633,0.023293662989799627,0.14523059815727266,0.027225353852770973,False,1152,screening,screening_mixed
service_guarded_1152,12,0.0051678735990892495,0.010370813273994051,0.0085595216997294,0.015734091398891942,0.010076542432808236,0.015552555217642998,0.014265143387811374,0.017947266207026066,8.651443124637245e-06,3.91978626303771e-05,0.007813161903383813,0.0358134762480696,-0.14192708333333334,0.09594680939275028,0.09632259236310597,0.02922832878398806,0.1473561349673538,0.03223802530083561,False,1152,screening,screening_mixed
welfare_1536,12,0.003952403638890452,0.008041461027393485,0.003952403638890452,0.008041461027393485,0.005208552097155539,0.007887298620083081,0.0032976893423774336,0.008638390754047877,6.313899034724828e-06,4.0094900945068386e-05,0.0035686479601982437,0.036455213051776174,0.06201171875,0.11732752726444827,0.11488359984412753,0.024821831234027474,0.1364611509389306,0.0203577885088173,True,1536,screening,screening_physical_guard_pass
welfare_1536_confirm24,24,,,0.006207278117683401,0.006261359749752309,0.007643905984587603,0.006286040574007833,0.005766363112673238,0.006741711198511632,1.2117989197609388e-05,3.6079701298876316e-05,0.010517162492114207,0.03265980016413769,0.05935329861111111,0.10026518619826641,0.09941737902165095,0.015464080182862319,0.150017482856471,0.014957920314607114,True,1536,welfare,same_budget_physical_signs_all_favor_full
