config,method,train_steps,seed_count,mean_utility,mean_utility_se,mean_utility_ci95,ci95_lo,ci95_hi,cew,turnover,theta_stability,wealth_terminal,sharpe,claim_status
default_safe_steps1500,nbo_full_ndu,1500,60,0.06291084017313268,0.0008313302815123802,0.0016294073517642699,0.06128143282136842,0.06454024752489695,0.06495357872125544,0.3931240753012126,0.0008727362530528347,1.09298151029132,1.242927517905238,method_summary
default_safe_steps1500,nbo_fixed_pref_joint,1500,60,0.0626822937724347,0.0008288792526681106,0.0016246033352294992,0.0610576904372052,0.0643068971076642,0.06471008690185429,0.393979422819329,0.0,1.092789446621072,1.2401199644959378,method_summary
default_safe_steps1500,paired_gap_full_minus_fixed,1500,60,0.00022854640069799176,3.885796963080982e-05,7.616162047638722e-05,0.0001523847802216045,0.000304708021174379,,,,,,non_oracle_same_budget_full_beats_fixed
default_safe_steps1800,nbo_full_ndu,1800,60,0.06289203298380609,0.0008261652936051152,0.0016192839754660265,0.061272749008340066,0.06451131695927212,0.0649332807398477,0.39304908716823556,0.0009687775055670225,1.0929613432214569,1.242684336625652,method_summary
default_safe_steps1800,nbo_fixed_pref_joint,1800,60,0.06252594751871914,0.0008210717240065186,0.001609300579052772,0.060916646939666357,0.06413524809777191,0.06454323361288407,0.3947582108400093,0.0,1.0926981695670916,1.2388450081465032,method_summary
default_safe_steps1800,paired_gap_full_minus_fixed,1800,60,0.00036608546508695857,6.048999407056419e-05,0.00011856038837830584,0.00024752507670865273,0.0004846458534652644,,,,,,non_oracle_same_budget_full_beats_fixed
