method,horizon,state_count,control_count,expected_total_welfare,expected_avg_welfare,expected_total_cost,expected_avg_cost,fill_rate,expected_service_breaches
action_only_exact_dp,10,122,5,-25.554040723957385,-2.5554040723957385,31.947654145783627,3.1947654145783626,0.9999766417234947,0.006726251708359997
valuation_only_exact_dp,10,122,5,-24.810345840676497,-2.4810345840676495,34.07926610238388,3.4079266102383885,0.9999929148487746,0.0007222380933186763
full_valuation_control_exact_dp,10,122,16,-23.577138051361608,-2.357713805136161,33.91174375597881,3.391174375597881,0.9999982325723881,4.653128653485762e-07
