audit,epsilon,method,seed,training_samples,noise_std,beta_p,beta_z,train_p_rmse_direct,train_p_rmse_z_inverted,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,10441,640,0.035,"[-0.04975739  1.01822496  0.43442063  0.23054793 -0.17824066  0.09710213
 -0.24536198 -0.0256754 ]","[-0.02714736  0.50151643  0.18842954  0.09510992 -0.09322785  0.05239347
 -0.04785705 -0.00768077]",0.0035563720608103606,0.009241105703881326,-6.344506989924874,6.981285648544334,0.9999708674836826,0.02602950217267727,20.10080300828093,23.365073083874556,0.099609375,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,10441,640,0.035,"[-0.04975739  1.01822496  0.43442063  0.23054793 -0.17824066  0.09710213
 -0.24536198 -0.0256754 ]","[-0.02714736  0.50151643  0.18842954  0.09510992 -0.09322785  0.05239347
 -0.04785705 -0.00768077]",0.0035563720608103606,0.009241105703881326,-6.35142282976658,6.988081317378701,0.9999704945452652,0.026352368603469574,20.12333799553535,23.3651191239558,0.103515625,0.0033744026564273503,0.0043252157570473375
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,10441,640,0.035,"[-0.04975739  1.01822496  0.43442063  0.23054793 -0.17824066  0.09710213
 -0.24536198 -0.0256754 ]","[-0.02714736  0.50151643  0.18842954  0.09510992 -0.09322785  0.05239347
 -0.04785705 -0.00768077]",0.0035563720608103606,0.009241105703881326,-6.308813778112675,6.945594673828854,0.9999711471207724,0.02581810398845087,19.97135604477068,23.36485262147978,0.099609375,0.01059408371328607,0.012584266533656078
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,11441,640,0.035,"[-0.05103608  0.89223153  0.43239853  0.21963047 -0.18085721  0.10206398
  0.16630353 -0.00876036]","[-0.01765011  0.40356417  0.21211033  0.09131612 -0.05597248  0.0474875
  0.02600867 -0.01347764]",0.0019583833067848733,0.00842388841585859,-6.2806304223521,6.918062882600703,0.9999939989373252,0.005290792820699677,19.947191872328183,23.10919415590061,0.083984375,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,11441,640,0.035,"[-0.05103608  0.89223153  0.43239853  0.21963047 -0.18085721  0.10206398
  0.16630353 -0.00876036]","[-0.01765011  0.40356417  0.21211033  0.09131612 -0.05597248  0.0474875
  0.02600867 -0.01347764]",0.0019583833067848733,0.00842388841585859,-6.281995471690568,6.919428282270905,0.9999940427287921,0.005255750559029777,19.951401063673593,23.10957657504917,0.083984375,0.0014222789002297507,0.0017684342208068287
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,11441,640,0.035,"[-0.05103608  0.89223153  0.43239853  0.21963047 -0.18085721  0.10206398
  0.16630353 -0.00876036]","[-0.01765011  0.40356417  0.21211033  0.09131612 -0.05597248  0.0474875
  0.02600867 -0.01347764]",0.0019583833067848733,0.00842388841585859,-6.313263863233482,6.950702592640476,0.9999947825821244,0.004596478178432478,20.065465966734983,23.113032479761337,0.083984375,0.010571076813344772,0.012532722586572401
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,12441,640,0.035,"[-5.00088524e-02  8.55162517e-01  4.16513848e-01  2.18705965e-01
 -1.80432852e-01  9.19061075e-02  4.81946590e-01  4.63170558e-05]","[-0.02100523  0.25504301  0.15652833  0.10109587 -0.07835522  0.0451578
  0.41897122  0.03995701]",0.003590426232232952,0.00773200406023194,-6.342526087921279,6.979249542911462,0.9999639670300229,0.032259836527087894,20.11664121419321,23.34286029065858,0.099609375,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,12441,640,0.035,"[-5.00088524e-02  8.55162517e-01  4.16513848e-01  2.18705965e-01
 -1.80432852e-01  9.19061075e-02  4.81946590e-01  4.63170558e-05]","[-0.02100523  0.25504301  0.15652833  0.10109587 -0.07835522  0.0451578
  0.41897122  0.03995701]",0.003590426232232952,0.00773200406023194,-6.3391006881671235,6.975879730629218,0.9999635912452619,0.03259413135333218,20.105462847204265,23.341371889066096,0.09765625,0.00227505637010121,0.002802316111442303
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,12441,640,0.035,"[-5.00088524e-02  8.55162517e-01  4.16513848e-01  2.18705965e-01
 -1.80432852e-01  9.19061075e-02  4.81946590e-01  4.63170558e-05]","[-0.02100523  0.25504301  0.15652833  0.10109587 -0.07835522  0.0451578
  0.41897122  0.03995701]",0.003590426232232952,0.00773200406023194,-6.3417030912556545,6.97842528234331,0.9999638090422072,0.03238529845096178,20.113196917540446,23.342664862139706,0.099609375,0.005320327661623901,0.006958351223255035
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,13441,640,0.035,"[-0.05263406  0.96160862  0.43172488  0.22708021 -0.17870082  0.10597835
  0.07888193 -0.0030803 ]","[-0.01829088  0.44009936  0.15674216  0.09540843 -0.07368092  0.04650845
 -0.0766031   0.0514476 ]",0.004488288303239551,0.009513912441698202,-6.2909809073829,6.927846661021894,0.9999744301423745,0.02188647022709242,19.967713721889325,23.1434285861227,0.09765625,0.0,0.0
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_direct_p_inventory,13441,640,0.035,"[-0.05263406  0.96160862  0.43172488  0.22708021 -0.17870082  0.10597835
  0.07888193 -0.0030803 ]","[-0.01829088  0.44009936  0.15674216  0.09540843 -0.07368092  0.04650845
 -0.0766031   0.0514476 ]",0.004488288303239551,0.009513912441698202,-6.292869680367623,6.929557490623503,0.999974159875735,0.02211792142064708,19.970184703673837,23.14416041401855,0.103515625,0.003343713165568188,0.004114769641144655
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,learned_z_inventory,13441,640,0.035,"[-0.05263406  0.96160862  0.43172488  0.22708021 -0.17870082  0.10597835
  0.07888193 -0.0030803 ]","[-0.01829088  0.44009936  0.15674216  0.09540843 -0.07368092  0.04650845
 -0.0766031   0.0514476 ]",0.004488288303239551,0.009513912441698202,-6.309834123450123,6.946942993830586,0.9999755228600578,0.020953568054760556,20.0384055668207,23.145842522283193,0.08984375,0.008183032266528409,0.011965692182461482
isomorphic_inventory_direct_p_vs_learned_z_solver_ablation,0.1,oracle_p_inventory,14441,640,0.035,"[-5.07978080e-02  1.13437085e+00  4.26163520e-01  2.17970016e-01
 -1.78085874e-01  1.00621540e-01 -4.47418875e-01 -1.03439934e-04]","[-0.02551384  0.28243761  0.15991184  0.10144231 -0.08707225  0.04623449
 -0.01867092  0.05427951]",0.0031265532010631104,0.011285282659102532,-6.3123113102324595,6.9496267040246895,0.9999647171927787,0.0325487781766079,20.05503309593319,23.24037814763407,0.080078125,0.0,0.0
