method,t,inventory,regime,theta_previous,order_up_to,theta_next
exact_dp_action_only_fixed_theta,7,-1,1,1.0,7,1.0
exact_dp_action_only_fixed_theta,7,5,0,1.0,0,1.0
exact_dp_action_only_fixed_theta,7,5,1,1.0,6,1.0
exact_dp_dynamic_shortage_penalty_only,0,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,0,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,1,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,1,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,1,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,1,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,1,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,1,0,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,1,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,0,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,2,2,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,2,2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,0,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-1,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-2,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-3,0,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,-3,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,3,2,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,3,2,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,3,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,3,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,2,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,1,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,0,0,1.0,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,0,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-1,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-1,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-2,0,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,-2,1,1.0,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,1,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,1,1,0.75,3,0.75
exact_dp_dynamic_shortage_penalty_only,4,0,0,0.75,3,1.0
exact_dp_dynamic_shortage_penalty_only,4,0,1,0.75,3,0.75
