refinement_level,cover_name,state_count,bellman_state_time_nodes,terminal_nodes,action_grid_size,contains_action_only_face,contains_valuation_only_face,action_fill_distance_proxy,fill_distance_drop_vs_previous,terminal_residual_sup,bellman_residual_sup_abs,greedy_gap_sup,finite_cover_certificate_bound,value_at_initial_mixture,avg_welfare_at_initial_mixture,margin_vs_action_only_avg,increment_vs_previous_cover_avg,monotone_value_refinement,monotone_radius_refinement,certificate_status,interpretation
0,action_face_5,122,1220,122,5,1,0,1.20598507453,0,0,0,0,0,-25.554040724,-2.5554040724,0,0,1,1,exact_refined_finite_cover_hjb_solve,nested action-cover refinement: exact Bellman-HJB certificate at every level and monotone value improvement toward the R48 Full cover
1,action_plus_valuation_face_10,122,1220,122,10,1,1,0.848528137424,0.357456937111,0,0,0,0,-24.4368288874,-2.44368288874,0.111721183652,0.111721183652,1,1,exact_refined_finite_cover_hjb_solve,nested action-cover refinement: exact Bellman-HJB certificate at every level and monotone value improvement toward the R48 Full cover
2,nested_full_sparse_13,122,1220,122,13,1,1,0.721110255093,0.127417882331,0,0,0,0,-24.3752979155,-2.43752979155,0.117874280849,0.00615309719656,1,1,exact_refined_finite_cover_hjb_solve,nested action-cover refinement: exact Bellman-HJB certificate at every level and monotone value improvement toward the R48 Full cover
3,nested_full_r48_16,122,1220,122,16,1,1,0.54626001135,0.174850243743,0,0,0,0,-23.5771380514,-2.35771380514,0.19769026726,0.0798159864108,1,1,exact_refined_finite_cover_hjb_solve,nested action-cover refinement: exact Bellman-HJB certificate at every level and monotone value improvement toward the R48 Full cover
