evaluations,full_ndu_joint,fixed_pref_joint_rl,oracle_factor_joint_rl,signal_only_joint_rl
24,,,0.06503063036708254,0.047262807270940115
34,,0.05140143638681556,0.06503063036708254,0.047262807270940115
48,,0.05140143638681556,0.07498031344483276,0.05673950508170179
54,0.00452783925920548,0.05140143638681556,0.07498031344483276,0.05673950508170179
68,0.00452783925920548,0.05990334374730753,0.07498031344483276,0.05673950508170179
72,0.00452783925920548,0.05990334374730753,0.08368484527693408,0.06276755486162026
96,0.00452783925920548,0.05990334374730753,0.08824774238419049,0.06492687899036916
102,0.00452783925920548,0.06052343709419796,0.08824774238419049,0.06492687899036916
108,0.04372404762772879,0.06052343709419796,0.08824774238419049,0.06492687899036916
120,0.04372404762772879,0.06052343709419796,0.09263503897816336,0.06587419320591788
136,0.04372404762772879,0.06176747554810816,0.09263503897816336,0.06587419320591788
144,0.04372404762772879,0.06176747554810816,0.09479575043315275,0.06788229714038904
162,0.05993732339163892,0.06176747554810816,0.09479575043315275,0.06788229714038904
168,0.05993732339163892,0.06176747554810816,0.09624848286708769,0.06896737363198918
170,0.05993732339163892,0.06302876958352216,0.09624848286708769,0.06896737363198918
192,0.05993732339163892,0.06302876958352216,0.09735287798695796,0.06971548530670217
204,0.05993732339163892,0.06392925495066766,0.09735287798695796,0.06971548530670217
216,0.06939192517277616,0.06392925495066766,0.09875433751435848,0.07035672366420508
238,0.06939192517277616,0.06543044383194156,0.09875433751435848,0.07035672366420508
270,0.08184277803842098,0.06543044383194156,0.09875433751435848,0.07035672366420508
272,0.08184277803842098,0.06708260670740027,0.09875433751435848,0.07035672366420508
306,0.08184277803842098,0.06805195215758196,0.09875433751435848,0.07035672366420508
324,0.08777098643454499,0.06805195215758196,0.09875433751435848,0.07035672366420508
340,0.08777098643454499,0.06991285921893065,0.09875433751435848,0.07035672366420508
374,0.08777098643454499,0.07128456199720754,0.09875433751435848,0.07035672366420508
378,0.09343575837758289,0.07128456199720754,0.09875433751435848,0.07035672366420508
408,0.09343575837758289,0.07256491376328088,0.09875433751435848,0.07035672366420508
432,0.0988449557786167,0.07256491376328088,0.09875433751435848,0.07035672366420508
442,0.0988449557786167,0.07385280772470294,0.09875433751435848,0.07035672366420508
486,0.1040603005289945,0.07385280772470294,0.09875433751435848,0.07035672366420508
540,0.11040647321867071,0.07385280772470294,0.09875433751435848,0.07035672366420508
594,0.11357436495857262,0.07385280772470294,0.09875433751435848,0.07035672366420508
648,0.11607562629539252,0.07385280772470294,0.09875433751435848,0.07035672366420508
702,0.11850927613018226,0.07385280772470294,0.09875433751435848,0.07035672366420508
756,0.12001417047065367,0.07385280772470294,0.09875433751435848,0.07035672366420508
810,0.12098302677996896,0.07385280772470294,0.09875433751435848,0.07035672366420508
864,0.12222929928618016,0.07385280772470294,0.09875433751435848,0.07035672366420508
918,0.12299885428730899,0.07385280772470294,0.09875433751435848,0.07035672366420508
972,0.12367796630150062,0.07385280772470294,0.09875433751435848,0.07035672366420508
1026,0.12427575018465596,0.07385280772470294,0.09875433751435848,0.07035672366420508
1080,0.12484098935360918,0.07385280772470294,0.09875433751435848,0.07035672366420508
1134,0.12520994293582935,0.07385280772470294,0.09875433751435848,0.07035672366420508
1188,0.12566040465772435,0.07385280772470294,0.09875433751435848,0.07035672366420508
1242,0.12608147287030727,0.07385280772470294,0.09875433751435848,0.07035672366420508
