scenario,method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
tight_capacity,full_ndu_inventory,2052,12,10,24,240,-3.741830874547882,-3.7536383863114335,4.4350295452283035,0.9997813093240967,0.19783544141617712,8.531724356402924,23.235849229869572,0.06701128585058218,1.2213541666666667
tight_capacity,full_ndu_inventory,3052,12,10,24,240,-3.7430698750680533,-3.7848723376655258,4.4697809256620085,0.9997467875551648,0.21814626194599185,8.945401078403853,23.13538649030262,0.1981545607915495,1.09375
tight_capacity,full_ndu_inventory,4052,12,10,24,240,-3.68061157999092,-3.7717862840952807,4.457355925840873,0.9997421129717324,0.24905169263727212,8.975420921714038,22.981189116666332,0.09717756708366532,1.0703125
tight_capacity,full_ndu_inventory,5052,12,10,24,240,-3.9544676822146214,-3.770551487003298,4.456817581318481,0.9997760938127982,0.19594822505066042,9.015869164025167,22.979058237856055,0.07811529535651346,1.0572916666666667
tight_capacity,full_ndu_inventory,6052,12,10,24,240,-3.780068601333525,-3.7747722947223,4.4590895898221605,0.9996637272333179,0.31620776036828774,8.981495039221384,22.956276875406754,0.1805107825107524,1.0885416666666667
tight_capacity,full_ndu_inventory,7052,12,10,24,240,-3.7111523602925773,-3.8269377295916347,4.504782048607978,0.9996215910018158,0.35017355731485794,8.705269826529323,22.973572788945955,0.18382737363955656,1.2916666666666667
tight_capacity,full_ndu_inventory,8052,12,10,24,240,-3.832665446714637,-3.775565019837209,4.456308374442508,0.9997006505117,0.28271728732636503,8.66749382042334,23.145668285142463,0.11205771712600336,1.21875
tight_capacity,full_ndu_inventory,9052,12,10,24,240,-3.822389479346319,-3.7956172208263355,4.484952491127738,0.9998393355890446,0.15259470347480997,9.242031992573144,23.05588726624832,0.08180118617960459,0.9739583333333334
tight_capacity,full_ndu_inventory,10052,12,10,24,240,-3.749755834589382,-3.81995412614601,4.494386782431764,0.9995289756984173,0.4259163209055297,8.648887675772437,22.878139500278518,0.10467070361336399,1.3776041666666667
tight_capacity,full_ndu_inventory,11052,12,10,24,240,-3.8008766458112517,-3.8191317734734027,4.504207718905302,0.9998521883813222,0.13747153332839113,9.092640919674215,23.032004417395626,0.03543565529692886,1.1197916666666667
tight_capacity,action_only_adaptive_base_stock,3052,7,9,22,198,-3.7873028821701085,-3.8069075335761586,4.493203487511828,0.9995623976595187,0.3783825608473775,9.26327388921516,23.10715241402744,0.0,0.9921875
