calibrated_backlog_gain,calibrated_base_stock,calibrated_ewma_alpha,calibrated_season_blend,calibrated_service_pressure,calibrated_shock_gain,calibrated_theta_base,method,source_dataset,source_url,test_avg_cost,test_avg_inventory,test_avg_order,test_ending_backlog,test_fill_rate,test_mean_welfare,test_months,test_service_breaches,test_total_cost,train_avg_cost,train_avg_inventory,train_avg_order,train_ending_backlog,train_fill_rate,train_mean_welfare,train_months,train_service_breaches,train_total_cost
1.050000,,0.380000,0.250000,0.120000,0.850000,0.750000,adaptive_valuation_service_replay,R datasets::AirPassengers via Rdatasets,https://raw.githubusercontent.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv,4.2876337115,1.2510193350,21.1501145619,0.0000000000,1.0000000000,-3.6534670448,36,7.0000000000,154.3548136126,1.5162670747,2.4864832411,11.4577688068,0.0000000000,1.0000000000,-0.8765448525,108,1.0000000000,163.7568440698
,,,,,,,seasonal_quantile_base_stock,R datasets::AirPassengers via Rdatasets,https://raw.githubusercontent.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv,14.2924452803,0.0000000000,20.9376414609,6.0000000000,0.9922209257,-13.7421778747,36,33.0000000000,514.5280300926,2.6626350009,5.4477777778,11.4268990055,1.2000000000,0.9990375747,-2.0322788478,108,7.0000000000,287.5645800926
,17.500000,,,,,,fixed_empirical_base_stock,R datasets::AirPassengers via Rdatasets,https://raw.githubusercontent.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv,12.7971813915,0.1458333333,20.9904192387,4.1000000000,0.9946842992,-12.2197069976,36,24.0000000000,460.6985300926,3.0648822231,6.2004629630,11.4444915981,0.0000000000,1.0000000000,-2.4265488897,108,6.0000000000,331.0072800926
,,,,,,,no_reorder,R datasets::AirPassengers via Rdatasets,https://raw.githubusercontent.com/vincentarelbundock/Rdatasets/master/csv/datasets/AirPassengers.csv,1035.9143055556,0.0000000000,0.0000000000,759.7550925926,0.0149681154,-1043.1845606324,36,36.0000000000,37292.9150000000,1415.2394964849,0.0554612483,0.0000000000,1235.3050925926,0.0092592593,-1422.5548668553,108,106.0000000000,152845.8656203705
