experiment,method,audit_config,train_steps,width,batch,omega,terminal_weight,actor_hjb_weight,actor_lr,critic_lr,native_hjb_loss,residual_rmse,normalized_residual_rmse,terminal_boundary_loss,primary_metric,heldout_value,heldout_ci95,interpretation,hjb_loss_ratio_vs_headline,terminal_loss_ratio_vs_headline,claim_status,mean_action
exp1_habit_portfolio,nbo_full_ndu,headline_performance_run,450,56,96,1.0,2.0,0.05,5e-06,0.0012,2125.08252772,46.0986174165,1.33333341879,85.17061204423864,mean_utility,-2.796595573378198,0.002658658136257456,"headline actor-critic run; performance row, not a convergence certificate",1,1,baseline_high_residual_visible,
inventory_service_level,nbo_full_ndu_inventory,headline_performance_run,450,56,96,1.0,2.0,0.05,5e-06,0.0012,62574.1343104,250.14822468,1.8434575415,2062.008626372904,mean_welfare,-3.637521018572943,0.007739204117383378,"headline actor-critic run; performance row, not a convergence certificate",1,1,baseline_high_residual_visible,
exp1_habit_portfolio,nbo_full_ndu,exp1_residual_only_critic_no_terminal_guardrail,900,56,128,1.0,0.0,0.0,0.0,0.0012,897.282568865,29.9546752422,0.680082286126,494.446789865,mean_utility,-2.79651174301,0.0027096562662,"residual-focused rerun; diagnostic tradeoff, not headline replacement",0.422234222512,5.80536851852,residual_reduced_but_terminal_boundary_worse,0.35;0.169986;0.080092
inventory_service_level,nbo_full_ndu_inventory,inventory_residual_balanced_long,900,64,128,8.0,15.0,0.05,2e-06,0.0012,26336.1483831,162.284159372,1.96966934825,1897.608657,mean_welfare,-3.63737564723,0.00770407103557,"residual-focused rerun; diagnostic tradeoff, not headline replacement",0.420879148762,0.920271929385,residual_reduced_with_similar_inventory_welfare,36.006;2.19984
