method,seed,sku_count,test_months,training_months_per_sku,source_dataset,split,external_avg_cost,valuation_adjusted_welfare,theta_free_external_welfare,fill_rate,avg_order,avg_ending_inventory,avg_ending_backlog,lost_sales_rate,capacity_excess_rate,theta_mean,theta_std,target_fill_mean,periods
tabular_inventory_rl,7294,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.39175316851,-0.131219631615,-0.131219631615,0.988188245222,0.873402396058,0.754737942479,0.0681342956855,0,0.0379191239633,1,0,0.93,156
full_ndu_theta_service_control,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.362975360205,-0.0512087155188,-0.0684980154624,0.992089865735,0.945279511639,0.956871825319,0.0458381830407,0,0.0692489961774,1.0372859968,0.18565103289,0.932050729824,156
rolling_forecast_base_stock_backlog,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.432507833088,-0.206585114676,-0.206585114676,0.984340013986,0.883747991334,0.757751743063,0.0796618616193,0,0.0549420238622,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.656935140636,-0.443416881943,-0.443416881943,0.916788320032,0.812949655002,0.755656036348,0,0.083211679968,0.0273540732791,1,0,0.93,156
seasonal_service_tuned_base_stock,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.399443585865,-0.141078385113,-0.141078385113,0.988008476303,0.905798930725,0.825042373419,0.0656255942857,0,0.0543979182524,1,0,0.93,156
mpc_scenario_base_stock,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.419906300083,-0.188582826206,-0.188582826206,0.986594343499,0.901602564103,0.78261185849,0.0733896394494,0,0.0623674792474,1,0,0.93,156
approximate_dp_inventory,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.364830541582,-0.0683157588856,-0.0683157588856,0.993801951705,0.948384958494,0.952259020441,0.0467713811777,0,0.0641777489467,1,0,0.93,156
tabular_inventory_rl,7391,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.435417297823,-0.195439413878,-0.195439413878,0.986490299479,0.887415920805,0.776715998369,0.0811375359094,0,0.0514528062919,1,0,0.93,156
full_ndu_theta_service_control,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.352295828083,-0.0354039611611,-0.0537597117392,0.99597283482,0.973189401258,0.986646751941,0.040698371909,0,0.076001564186,1.04055475711,0.185317344704,0.932210075838,156
rolling_forecast_base_stock_backlog,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.405166586235,-0.166618920293,-0.166618920293,0.989323833088,0.907883580236,0.781364874582,0.0699196569435,0,0.0605759144901,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.630642298518,-0.415383354087,-0.415383354087,0.921090825611,0.833337026345,0.763581676242,0,0.0789091743895,0.0298585200161,1,0,0.93,156
seasonal_service_tuned_base_stock,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.369159131961,-0.0975363971185,-0.0975363971185,0.992769171995,0.931304057058,0.851179194021,0.0545160562699,0,0.0595782321827,1,0,0.93,156
mpc_scenario_base_stock,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.388775905909,-0.139885018692,-0.139885018692,0.993390317725,0.926923076923,0.811349470268,0.0615394365792,0,0.0723797710075,1,0,0.93,156
approximate_dp_inventory,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.346477364635,-0.0418602086921,-0.0418602086921,0.996284025558,0.975051186217,0.980672975138,0.0390780569129,0,0.0703607502583,1,0,0.93,156
tabular_inventory_rl,7488,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.399451786196,-0.142404073958,-0.142404073958,0.990619346017,0.915828064181,0.806420386168,0.0677693966114,0,0.0488876141907,1,0,0.93,156
full_ndu_theta_service_control,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.376698971816,-0.0683370567365,-0.0842851442331,0.98991161902,0.929099212705,0.955054421618,0.0501923242523,0,0.0518053998872,1.03797383016,0.190821230569,0.932046129309,156
rolling_forecast_base_stock_backlog,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.419487053655,-0.177459833302,-0.177459833302,0.983612964003,0.866894789897,0.756513673296,0.0751061688928,0,0.0432020842239,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.63954502246,-0.409887285141,-0.409887285141,0.919811561446,0.809731704743,0.756879944452,0,0.0801884385537,0.0248069777811,1,0,0.93,156
seasonal_service_tuned_base_stock,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.393729834845,-0.125120436168,-0.125120436168,0.987221065117,0.891331908311,0.831379658018,0.0628082242,0,0.0442923887858,1,0,0.93,156
mpc_scenario_base_stock,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.38943195853,-0.131336666537,-0.131336666537,0.986482358243,0.885256410256,0.782363519136,0.0625729623632,0,0.0522673853783,1,0,0.93,156
approximate_dp_inventory,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.37000255122,-0.0692985925846,-0.0692985925846,0.992316525029,0.934149072796,0.957276018627,0.0476789879222,0,0.0515568447793,1,0,0.93,156
tabular_inventory_rl,7585,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.41459383162,-0.157324528633,-0.157324528633,0.987567217867,0.873360252942,0.754137902025,0.0746918256455,0,0.0443915164679,1,0,0.93,156
full_ndu_theta_service_control,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.420278886925,-0.131845334623,-0.149306828242,0.993304260781,0.981913715395,0.951050830676,0.0640268836432,0,0.0765896895144,1.05296158088,0.213091642112,0.93279236837,156
rolling_forecast_base_stock_backlog,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.483849262828,-0.27600136184,-0.27600136184,0.985361875898,0.913135245249,0.75430456161,0.0958428595891,0,0.0594827042418,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.744781811148,-0.552918760659,-0.552918760659,0.904796669773,0.835220726181,0.758089972274,0,0.0952033302265,0.0309248495574,1,0,0.93,156
seasonal_service_tuned_base_stock,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.4467108016,-0.206523365772,-0.206523365772,0.989734783074,0.935265568896,0.819896941846,0.0800048006439,0,0.0608303504253,1,0,0.93,156
mpc_scenario_base_stock,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.470440037545,-0.257603101101,-0.257603101101,0.991428926132,0.9375,0.784530245443,0.0878207992311,0,0.0713998325337,1,0,0.93,156
approximate_dp_inventory,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.413423697953,-0.134223641405,-0.134223641405,0.99536362048,0.982407109262,0.946054477577,0.0617182486999,0,0.0715352599718,1,0,0.93,156
tabular_inventory_rl,7682,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.489754411759,-0.271429260879,-0.271429260879,0.985173169618,0.920416183414,0.762207425197,0.0970994816464,0,0.0700908375351,1,0,0.93,156
full_ndu_theta_service_control,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.379667660814,-0.072443820606,-0.0880143893972,0.982599072477,0.910135579156,0.962463283754,0.0547477447232,0,0.0562706980989,1.03070332033,0.186972286652,0.931618169798,156
rolling_forecast_base_stock_backlog,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.399665611323,-0.143419372941,-0.143419372941,0.976723543009,0.850212139212,0.761559693997,0.0726689645421,0,0.0405028408331,1,0,0.93,156
rolling_forecast_base_stock_lost_sales,7779,39,4,8,supplychainpy sample complete_dataset_small.csv,months_1_8_train_9_12_test,0.58358539915,-0.334018637881,-0.334018637881,0.924482386158,0.80143122979,0.745230674102,0,0.0755176138425,0.0191057311529,1,0,0.93,156
