experiment,method,iteration,native_hjb_loss,residual_rmse,mean_abs_residual,mean_hamiltonian_abs,normalized_residual_rmse_over_one_plus_abs_mean_hamiltonian,terminal_boundary_loss,interpretation
exp1_habit_portfolio,nbo_full_ndu,450,2125.08252772,46.0986174165,27.36217682852801,33.5739608464,1.33333341879,85.17061204423864,residual_certificate_gap_reported
exp2_hidden_regime,nbo_full_ndu,450,0.000508183720488,0.02254293061,0.019252534085044817,0.0202129849706,0.0220962984613,4.415929395686752e-06,residual_certificate_gap_reported
exp3_high_dimensional_allocation,nbo_full_ndu,450,0.0334091952277,0.182781824118,0.1492201353918296,0.111279079371,0.164478777213,8.162007508503635e-05,residual_certificate_gap_reported
inventory_service_level,nbo_full_ndu_inventory,450,62574.1343104,250.14822468,201.51464532317019,134.69513756,1.8434575415,2062.008626372904,residual_certificate_gap_reported
