audit,epsilon,method,seed,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,9061,-6.362369227401103,6.999734574990092,0.9999489887611237,0.04446838689068497,20.196465767698015,23.387517883246776,0.07421875,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,10061,-6.327948917655667,6.965060520396624,0.9999758644051195,0.02029059811848484,20.074356186478646,23.32453459353848,0.08984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,11061,-6.248737709808916,6.885148516630752,0.9999688313214794,0.025073013983965706,19.82312268232593,22.991998760622906,0.111328125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,12061,-6.291465538615068,6.928206041506229,0.9999660980176451,0.027988565478679485,19.96043276619747,23.19253163488429,0.099609375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,13061,-6.326708482846046,6.963597589330071,0.9999627008105032,0.031790452261025164,20.056457251487736,23.291180385065815,0.09375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,14061,-6.2826184311611195,6.920113245100292,0.9999431993986465,0.04906547808323023,19.950858519103956,23.20813112667879,0.068359375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,15061,-6.290582618446464,6.927938195298132,0.9999843885127085,0.014417194170079792,19.958308540504742,23.2865916364526,0.083984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,16061,-6.2974533627165545,6.934378687816377,0.9999892007937279,0.008568926886030816,19.973749513274434,23.22081542010447,0.099609375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,17061,-6.324823856143138,6.962029301687858,0.9999582978805901,0.03603745500223924,20.06610275291875,23.336696583614852,0.08203125,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,18061,-6.328185598887005,6.9656347062680055,0.9999960798288752,0.0036065574348988563,20.088905498077157,23.315137767139788,0.083984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,19061,-6.297751445792238,6.934511641150072,0.9999392627009793,0.048741973003113635,19.972242721390856,23.22911471744909,0.091796875,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,20061,-6.293265277162391,6.930369279700612,0.9999529417235276,0.03961359284467564,19.98197012285138,23.264381287196525,0.083984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,21061,-6.2237900576793095,6.860593151534119,0.9999373007943513,0.05116527164890142,19.777650644975466,22.980935201459815,0.08984375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,22061,-6.2918118781517105,6.928378699383291,0.9999810089039476,0.01724561418192288,19.94172071363979,23.197428581794348,0.109375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,23061,-6.329177780165697,6.966252732324021,0.9999566346447906,0.03681471731821333,20.093672311335013,23.263963554761236,0.0859375,0.0,0.0
same_benchmark_inventory_direct_p_vs_z,0.1,oracle_p_inventory,24061,-6.306516662844704,6.943155239429398,0.9999680056668367,0.027757779106294123,20.016811115423785,23.197506794507476,0.103515625,0.0,0.0
