method,component,mean,ci_low,ci_high,paired_minus_frozen,paired_ci_low,paired_ci_high
joint_contract,net_reward,-5.00249835596156,-5.011871334544273,-4.993125377378846,0.9437287431400324,0.9398213776990355,0.9476361085810293
joint_contract,physical_cost,9.375239967243235,9.36935576726212,9.381124167224351,-0.2121117058087187,-0.21493279776057042,-0.20929061385686695
joint_contract,premium,9.89134952603175,9.870004734434593,9.912694317628906,2.682199506258105,2.66929631306029,2.69510269945592
joint_contract,liability,1.0020823802734955,0.9982780330633437,1.0058867274836472,0.13726494147896284,0.13524202763056087,0.13928785532736482
joint_contract,maintenance,4.30914600647523,4.299799190818587,4.318492822131874,1.6059379994463783,1.5965911837897353,1.6152848151030212
joint_contract,adjustment,0.2073795280014064,0.20688820962289434,0.20787084637991848,0.2073795280014064,0.20688820962289434,0.20787084637991848
joint_contract,filled_demand,17.169406696191533,17.152767174710867,17.1860462176722,-0.8529215807176251,-0.8574171483740806,-0.8484260130611697
joint_contract,lost_demand,2.2942839787084464,2.2871474972873567,2.301420460129536,0.8529215807175754,0.8484260130611211,0.8574171483740297
joint_contract,demand,19.46369067490004,19.448693583024063,19.478687766776016,0.0,0.0,0.0
joint_contract,undiscounted_filled,19.031166076660156,19.01218824081576,19.050143912504552,-0.9697189331054688,-0.9748219805068967,-0.9646158857040408
joint_contract,undiscounted_lost,2.5694122314453125,2.5614279510196134,2.5773965118710116,0.9697189331054688,0.9646158857040408,0.9748219805068967
joint_contract,undiscounted_demand,21.60057830810547,21.583547955439723,21.617608660771214,0.0,0.0,0.0
expanded_action_mdp,net_reward,-5.00249835596156,-5.011871334544273,-4.993125377378846,0.9437287431400324,0.9398213776990355,0.9476361085810293
expanded_action_mdp,physical_cost,9.375239967243235,9.36935576726212,9.381124167224351,-0.2121117058087187,-0.21493279776057042,-0.20929061385686695
expanded_action_mdp,premium,9.89134952603175,9.870004734434593,9.912694317628906,2.682199506258105,2.66929631306029,2.69510269945592
expanded_action_mdp,liability,1.0020823802734955,0.9982780330633437,1.0058867274836472,0.13726494147896284,0.13524202763056087,0.13928785532736482
expanded_action_mdp,maintenance,4.30914600647523,4.299799190818587,4.318492822131874,1.6059379994463783,1.5965911837897353,1.6152848151030212
expanded_action_mdp,adjustment,0.2073795280014064,0.20688820962289434,0.20787084637991848,0.2073795280014064,0.20688820962289434,0.20787084637991848
expanded_action_mdp,filled_demand,17.169406696191533,17.152767174710867,17.1860462176722,-0.8529215807176251,-0.8574171483740806,-0.8484260130611697
expanded_action_mdp,lost_demand,2.2942839787084464,2.2871474972873567,2.301420460129536,0.8529215807175754,0.8484260130611211,0.8574171483740297
expanded_action_mdp,demand,19.46369067490004,19.448693583024063,19.478687766776016,0.0,0.0,0.0
expanded_action_mdp,undiscounted_filled,19.031166076660156,19.01218824081576,19.050143912504552,-0.9697189331054688,-0.9748219805068967,-0.9646158857040408
