batch,seed,method,net_reward,physical_cost,premium,liability,maintenance,adjustment,filled_demand,lost_demand,demand,undiscounted_filled,undiscounted_lost,undiscounted_demand
0,2026092300,joint_contract,-4.9909484363317285,9.380543449866861,9.901073179555027,0.9919755173275737,4.315436137034358,0.20406651165800213,17.199169533915274,2.2619084938226135,19.46107802773796,19.064453125,2.532958984375,21.597412109375
0,2026092300,expanded_action_mdp,-4.9909484363317285,9.380543449866861,9.901073179555027,0.9919755173275737,4.315436137034358,0.20406651165800213,17.199169533915274,2.2619084938226135,19.46107802773796,19.064453125,2.532958984375,21.597412109375
0,2026092300,frozen_contract,-5.916545581463549,9.582112362027829,7.22224403607907,0.8534692484860427,2.703208007028852,0.0,18.038629280261212,1.422448747476723,19.46107802773796,20.018798828125,1.57861328125,21.597412109375
0,2026092300,capacity_matched_gate,-5.916545581463549,9.582112362027829,7.22224403607907,0.8534692484860427,2.703208007028852,0.0,18.038629280261212,1.422448747476723,19.46107802773796,20.018798828125,1.57861328125,21.597412109375
0,2026092300,physical_oracle,-11.931184998642463,8.508438349523345,14.44448807215814,6.904402693162169,10.812832028115407,0.14999999999998842,13.707409116769497,5.753668910968484,19.46107802773796,15.211669921875,6.3857421875,21.597412109375
1,2026092301,joint_contract,-4.9587388902957095,9.40186058888384,10.055479946399966,1.023511369441287,4.3804305941759525,0.20841628419463895,17.31657333020296,2.273998015823652,19.59057134602669,19.19970703125,2.544921875,21.74462890625
1,2026092301,expanded_action_mdp,-4.9587388902957095,9.40186058888384,10.055479946399966,1.023511369441287,4.3804305941759525,0.20841628419463895,17.31657333020296,2.273998015823652,19.59057134602669,19.19970703125,2.544921875,21.74462890625
1,2026092301,frozen_contract,-5.924786556646172,9.622053840304948,7.276763949360213,0.8762886586727232,2.703208007028852,0.0,18.130090248238872,1.4604810977878602,19.59057134602669,20.12451171875,1.6201171875,21.74462890625
1,2026092301,capacity_matched_gate,-5.924786556646172,9.622053840304948,7.276763949360213,0.8762886586727232,2.703208007028852,0.0,18.130090248238872,1.4604810977878602,19.59057134602669,20.12451171875,1.6201171875,21.74462890625
1,2026092301,physical_oracle,-11.90732214490337,8.548174049317158,14.553527898720427,6.949843966191524,10.812832028115407,0.14999999999998842,13.799034707533743,5.791536638492939,19.59057134602669,15.316650390625,6.427978515625,21.74462890625
2,2026092302,joint_contract,-4.984021823860033,9.346447488597793,9.841248421048878,0.9832781312197796,4.287464146631212,0.20808047846019775,17.153289835285797,2.2326523894425567,19.385942224728336,19.0087890625,2.501708984375,21.510498046875
2,2026092302,expanded_action_mdp,-4.984021823860033,9.346447488597793,9.841248421048878,0.9832781312197796,4.287464146631212,0.20808047846019775,17.153289835285797,2.2326523894425567,19.385942224728336,19.0087890625,2.501708984375,21.510498046875
2,2026092302,frozen_contract,-5.912259208572331,9.566334130920534,7.197073396246872,0.8397904668699531,2.703208007028852,0.0,17.986291446611794,1.399650778116574,19.385942224728336,19.957763671875,1.552734375,21.510498046875
2,2026092302,capacity_matched_gate,-5.912259208572331,9.566334130920534,7.197073396246872,0.8397904668699531,2.703208007028852,0.0,17.986291446611794,1.399650778116574,19.385942224728336,19.957763671875,1.552734375,21.510498046875
2,2026092302,physical_oracle,-11.861972204095732,8.453671200114192,14.394146792493745,6.839615768360198,10.812832028115407,0.14999999999998842,13.686262417761585,5.699679806966849,19.385942224728336,15.185302734375,6.3251953125,21.510498046875
3,2026092303,joint_contract,-4.937115654348262,9.367029335149953,9.978424711008707,0.9926413751318561,4.346210571078373,0.20965908399686503,17.20302253853961,2.2586676003588013,19.461690138898526,19.069580078125,2.5283203125,21.597900390625
3,2026092303,expanded_action_mdp,-4.937115654348262,9.367029335149953,9.978424711008707,0.9926413751318561,4.346210571078373,0.20965908399686503,17.20302253853961,2.2586676003588013,19.461690138898526,19.069580078125,2.5283203125,21.597900390625
3,2026092303,frozen_contract,-5.915546229697839,9.598868556224208,7.238306196002593,0.8517758624474737,2.703208007028852,0.0,18.042063701486,1.4196264374124372,19.461690138898526,20.022705078125,1.5751953125,21.597900390625
3,2026092303,capacity_matched_gate,-5.915546229697839,9.598868556224208,7.238306196002593,0.8517758624474737,2.703208007028852,0.0,18.042063701486,1.4196264374124372,19.461690138898526,20.022705078125,1.5751953125,21.597900390625
3,2026092303,physical_oracle,-11.852229547303182,8.494479975550629,14.476612392005187,6.871529935642687,10.812832028115407,0.14999999999998842,13.735415192529683,5.726274946368877,19.461690138898526,15.2451171875,6.352783203125,21.597900390625
4,2026092304,joint_contract,-4.998379161611704,9.398202400476306,9.910515600429147,0.9850071836273941,4.3175538807825875,0.20813129715457976,17.18864570699384,2.275120243891257,19.463765950885193,19.052001953125,2.54833984375,21.600341796875
4,2026092304,expanded_action_mdp,-4.998379161611704,9.398202400476306,9.910515600429147,0.9850071836273941,4.3175538807825875,0.20813129715457976,17.18864570699384,2.275120243891257,19.463765950885193,19.052001953125,2.54833984375,21.600341796875
4,2026092304,frozen_contract,-5.9272171179494295,9.590872769641434,7.22414120220457,0.8572775434838164,2.703208007028852,0.0,18.0349700450788,1.4287959058063417,19.463765950885193,20.015380859375,1.5849609375,21.600341796875
4,2026092304,capacity_matched_gate,-5.9272171179494295,9.590872769641434,7.22414120220457,0.8572775434838164,2.703208007028852,0.0,18.0349700450788,1.4287959058063417,19.463765950885193,20.015380859375,1.5849609375,21.600341796875
4,2026092304,physical_oracle,-11.896945087731,8.493309687611662,14.44828240440914,6.889085776413427,10.812832028115407,0.14999999999998842,13.7228611372073,5.740904813677827,19.463765950885193,15.228515625,6.371826171875,21.600341796875
5,2026092305,joint_contract,-4.979754646667662,9.378400279310931,9.936264312007035,1.0024827207972675,4.328975984515062,0.20615997405147654,17.249457117678414,2.2951553126827693,19.54461243036121,19.1220703125,2.571533203125,21.693603515625
5,2026092305,expanded_action_mdp,-4.979754646667662,9.378400279310931,9.936264312007035,1.0024827207972675,4.328975984515062,0.20615997405147654,17.249457117678414,2.2951553126827693,19.54461243036121,19.1220703125,2.571533203125,21.693603515625
5,2026092305,frozen_contract,-5.918893837814386,9.576725155890006,7.230738391701395,0.8696990665970519,2.703208007028852,0.0,18.09511398603283,1.4494984443283994,19.54461243036121,20.083984375,1.609619140625,21.693603515625
5,2026092305,capacity_matched_gate,-5.918893837814386,9.576725155890006,7.230738391701395,0.8696990665970519,2.703208007028852,0.0,18.09511398603283,1.4494984443283994,19.54461243036121,20.083984375,1.609619140625,21.693603515625
5,2026092305,physical_oracle,-11.986627146694522,8.526193199106205,14.46147678340279,6.959078702876051,10.812832028115407,0.14999999999998842,13.745380177964563,5.799232252396687,19.54461243036121,15.2568359375,6.436767578125,21.693603515625
6,2026092306,joint_contract,-4.9762163614173955,9.439154109192689,10.075787938649945,1.016694197499382,4.3912692309735855,0.20488676240173784,17.298884335119865,2.2702351963339917,19.569119531453904,19.1806640625,2.54052734375,21.72119140625
6,2026092306,expanded_action_mdp,-4.9762163614173955,9.439154109192689,10.075787938649945,1.016694197499382,4.3912692309735855,0.20488676240173784,17.298884335119865,2.2702351963339917,19.569119531453904,19.1806640625,2.54052734375,21.72119140625
6,2026092306,frozen_contract,-5.9113991459261275,9.63013167002055,7.288614773805022,0.8666742426818717,2.703208007028852,0.0,18.124662460317445,1.4444570711364355,19.569119531453904,20.118896484375,1.602294921875,21.72119140625
6,2026092306,capacity_matched_gate,-5.9113991459261275,9.63013167002055,7.288614773805022,0.8666742426818717,2.703208007028852,0.0,18.124662460317445,1.4444570711364355,19.569119531453904,20.118896484375,1.602294921875,21.72119140625
6,2026092306,physical_oracle,-11.863113818464061,8.551478575316667,14.577229547610044,6.926032762642388,10.812832028115407,0.14999999999998842,13.797425562585287,5.771693968868646,19.569119531453904,15.31689453125,6.404296875,21.72119140625
7,2026092307,joint_contract,-4.975195888543723,9.375276679339944,9.895689140062245,0.9763941340680149,4.309975648098946,0.20923856709911884,17.139732575266695,2.288365753642673,19.42809832890944,18.9990234375,2.563720703125,21.562744140625
7,2026092307,expanded_action_mdp,-4.975195888543723,9.375276679339944,9.895689140062245,0.9763941340680149,4.309975648098946,0.20923856709911884,17.139732575266695,2.288365753642673,19.42809832890944,18.9990234375,2.563720703125,21.562744140625
7,2026092307,frozen_contract,-5.926894763672902,9.578360237584942,7.206537025696394,0.8518635447555996,2.703208007028852,0.0,18.008325754316758,1.419772574592658,19.42809832890944,19.986328125,1.576416015625,21.562744140625
7,2026092307,capacity_matched_gate,-5.926894763672902,9.578360237584942,7.206537025696394,0.8518635447555996,2.703208007028852,0.0,18.008325754316758,1.419772574592658,19.42809832890944,19.986328125,1.576416015625,21.562744140625
7,2026092307,physical_oracle,-11.942598012207439,8.498034451969975,14.413074051392789,6.894805583515157,10.812832028115407,0.14999999999998842,13.682427009313496,5.745671319595973,19.42809832890944,15.184326171875,6.37841796875,21.562744140625
8,2026092308,joint_contract,-4.998817134736678,9.398862872663589,9.92417225947608,0.9930831460931568,4.325078156055821,0.20596521940027274,17.215594157256685,2.2596920550963486,19.4752862123531,19.079345703125,2.530029296875,21.609375
