epsilon,direct_p_mse,inferred_p_mse,induced_z_mse,direct_design_condition,z_design_condition,max_parity_error
0.1,0.0013135334881520422,0.001313533488152041,0.0002627066976304081,6.901255288206791,3.4608804996170845,1.4432899320127035e-15
0.01,0.00010901814800347777,0.00010901814800347744,2.180362960069549e-06,6.901255288206791,2.9800842260175906,1.1102230246251565e-15
0.001,1.0516755268001864e-05,1.0516755268001908e-05,2.1033510536003816e-08,6.901255288206791,7.653255672736469,1.1102230246251565e-15
0.0001,1.042711290563099e-06,1.0427112905630193e-06,2.0854225811260387e-10,6.901255288206791,23.718673117263343,1.3322676295501878e-15
