mode,seed,training_points,optimizer_steps,parameters,training_seconds,initial_teacher_value,initial_policy_value,initial_policy_loss,max_value_error,value_rmse,max_one_step_residual,max_one_step_actor_gap,finite_chain_policy_bound,terminal_defect,certificate_state_count
value_only,17,2048,6000,1281,3.3586818889999677,-5.163828702143673,-5.192890284579214,0.029061582435541133,0.3795916627872078,0.05569985774013003,0.015845583711679163,2.9978977855726896e-06,5.337045650998478,0.0,98172
value_gradient,17,2048,6000,1281,5.755451946999983,-5.163828702143673,-5.178578814738663,0.014750112594990483,0.2550418891635291,0.0363868650554461,0.012974580709750834,3.7577109779363127e-06,2.903094900643313,0.0,98172
value_only,29,2048,6000,1281,3.3614317630000414,-5.163828702143673,-5.1841517369086025,0.020323034764929915,0.32289414675221306,0.04242162323945576,0.013522143448090412,4.412006694209936e-06,4.246878497012674,0.0,98172
value_gradient,29,2048,6000,1281,6.216829629000017,-5.163828702143673,-5.170776326022479,0.0069476238788066524,0.22432228411459465,0.02472530943754284,0.010315386608046317,2.5338636953087246e-06,2.1831789676158655,0.0,98172
