intervals,quartic,hull_seconds,exhaustive_seconds,speedup,maximum_value_difference,policy_mismatches,line_count,exhaustive_comparisons,initial_value
32,0.0,0.0007359289999158136,0.0005269249999173553,0.7159997771220222,8.881784197001252e-16,0,792,26136,-4.993985178869738
128,0.0,0.0020991169999433623,0.0013005319999592757,0.6195614632220912,8.881784197001252e-16,0,3096,399384,-4.992804896780111
512,0.0,0.007568666999986817,0.02178969599992797,2.8789344279469455,1.7763568394002505e-15,0,12312,6316056,-4.992725946082494
2048,0.0,0.03731163700001616,0.8216429880000078,22.02109191831095,1.7763568394002505e-15,0,49176,100761624,-4.992719912840654
32,0.2,0.0008866239999179015,0.0003389739999875019,0.3823199011293285,1.7763568394002505e-15,0,792,26136,-5.054035481594867
128,0.2,0.0022165230000155134,0.0011341900000161331,0.5116978258327096,1.7763568394002505e-15,0,3096,399384,-5.052569435285303
512,0.2,0.011165140999992218,0.026370767999992495,2.3618840102432093,1.7763568394002505e-15,0,12312,6316056,-5.0524748553862375
2048,0.2,0.03617685699998674,0.45519163199992363,12.582398520692124,1.7763568394002505e-15,0,49176,100761624,-5.052470407455298
