intervals,time_steps,dt,initial_value,seconds
20,103,0.07766990291262135,-5.193740807933294,0.003470439000011538
40,203,0.03940886699507389,-5.17353781316241,0.006608465999988766
80,403,0.019851116625310174,-5.163828702143673,0.01547546099993724
160,803,0.009962640099626401,-5.158941234714996,0.03283770500001992
