mode,seed,training_points,optimizer_steps,parameters,training_seconds,initial_teacher_value,initial_policy_value,initial_policy_loss,max_value_error,value_rmse,max_one_step_residual,max_one_step_actor_gap,finite_chain_policy_bound,terminal_defect,certificate_state_count
value_only,17,2048,1800,1281,1.0646583140000985,-5.163828702143673,-5.865301609039307,0.701472906895634,0.5641965324586127,0.11757258730753363,0.020861029584820452,6.216578185558319e-08,11.847000130166375,0.0,98172
value_gradient,17,2048,1800,1281,1.7345600730000115,-5.163828702143673,-5.209666728973389,0.04583802682971605,0.46054652891355574,0.07685698246820538,0.018851514865572634,5.241716280579567e-06,5.259214962752751,0.0,98172
value_only,29,2048,1800,1281,1.0045881060000283,-5.163828702143673,-5.225741386413574,0.0619126842699016,0.4522085543652159,0.07490066633053721,0.018853900055460393,1.9668368622660637e-06,7.701828783282639,0.0,98172
value_gradient,29,2048,1800,1281,1.7417390649999334,-5.163828702143673,-5.177560329437256,0.013731627293583237,0.3739568184840767,0.05436520996874623,0.015851609368736926,2.2547319531440735e-06,3.9284661041284914,0.0,98172
