method,seed,mean_utility,cew,sharpe,max_drawdown,turnover,theta_stability
full_ndu_joint,1037,0.11161934119361834,0.11808716990119494,1.3847947382087045,-0.06846354634818395,0.23099938506519813,0.014332212552597411
full_ndu_joint,2037,0.12430290323830323,0.13235881420899376,1.5288579478541213,-0.06745715460468554,0.24815722243796506,0.01056683314307312
full_ndu_joint,3037,0.10793172647487329,0.11397168801611257,1.3778687085568597,-0.06810677732427317,0.24336201940731897,0.010221535556429006
full_ndu_joint,4037,0.11092888020547091,0.11731544078411371,1.4847564160661526,-0.06535726895665006,0.2885494338798517,0.026466587928869596
full_ndu_joint,5037,0.11654606889505603,0.12360927271254885,1.4662103713672643,-0.06499786899119253,0.22452699039780627,0.023399192976054334
full_ndu_joint,6037,0.12228223030556207,0.13007299762459312,1.6003166206751733,-0.06801420854227007,0.3676232596606909,0.02210942382347473
full_ndu_joint,7037,0.12131243626766033,0.12897759081445237,1.5104739591766199,-0.06666201058305216,0.2324075325144702,0.018569643602184965
full_ndu_joint,8037,0.11142397700060977,0.11786875703925492,1.424678579144048,-0.06560043326290875,0.21953774810697702,0.014322512032126018
full_ndu_joint,9037,0.10851963548203483,0.1146267945578694,1.3822499967491246,-0.06705950253378622,0.20500905006224673,0.018831312994745504
full_ndu_joint,10037,0.10914030588874721,0.11531882516302261,1.4004135583374913,-0.0652384674114801,0.2367110710628363,0.017935678078537902
full_ndu_joint,11037,0.10296509088645073,0.108452713298961,1.4124600704121673,-0.06150272758840675,0.20597199729103136,0.014539063649496137
full_ndu_joint,12037,0.11121582891852413,0.1176360990159544,1.3781232027780266,-0.06986342647027746,0.2333418999628642,0.015832524651393586
full_ndu_joint,13037,0.11575701377076345,0.12272303275028573,1.4623838392445887,-0.06434460077731177,0.25023233621723195,0.01879408346646008
full_ndu_joint,14037,0.11286043736116173,0.11947568506493322,1.4155414938657382,-0.06691169564017639,0.20891007281870191,0.026387102482050853
full_ndu_joint,15037,0.12042721111088446,0.12797863366586038,1.4744272464038173,-0.06516079974444305,0.19594156127929488,0.029819629312357897
full_ndu_joint,16037,0.09356309159309242,0.09807988076488527,1.300796082267548,-0.06791610254591467,0.2821562443806376,0.012127862500912603
full_ndu_joint,17037,0.12042136890386887,0.12797204380042304,1.4900773753367522,-0.0665215255613643,0.2337463769054776,0.027333731471237355
full_ndu_joint,18037,0.11609681943178321,0.12310460521914246,1.4275312814979095,-0.06967624475082357,0.23823677752127048,0.01837946916178312
full_ndu_joint,19037,0.12549411250720383,0.13370849424028508,1.5352893501602218,-0.06647317105243931,0.21750281641090402,0.01588330827301303
full_ndu_joint,20037,0.11311478553187437,0.11976045787177281,1.4177252545700285,-0.06771236656375865,0.2475790539605229,0.023450539745827243
full_ndu_joint,21037,0.12780704268267704,0.1363337176356736,1.5958573669126,-0.06420115300632742,0.2259339002428598,0.017876360548158332
