method,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal,reference_gap
full_ndu_joint,-2.728388024702559,-0.9346747051726176,1.0,0.0,0.5,1.0345200697435055,0.0
augmented_state_rl,-2.760730904843469,-0.936752852179744,1.0,0.0,0.5,1.027082376603904,0.032342880140910246
fixed_pref_rl,-2.764246131999326,-0.936974819479487,1.0,0.0,0.5,1.0192097557725075,0.035858107296767194
preference_only,-2.766073715283154,-0.9370908332321942,1.0,0.0,0.5,0.9568188556899373,0.03768569058059512
