certificate,method,horizon,inventory_states,regime_states,state_count,bellman_state_time_nodes,terminal_nodes,action_grid_size,contains_action_only_face,contains_valuation_only_face,terminal_residual_sup,bellman_residual_sup_abs,greedy_gap_sup,finite_cover_certificate_bound,value_at_initial_mixture,avg_welfare_at_initial_mixture,margin_vs_action_only_total,margin_vs_action_only_avg,margin_vs_valuation_only_total,margin_vs_valuation_only_avg,min_greedy_margin_to_runner_up,certificate_status,interpretation
finite_cover_inventory_bellman_hjb,action_only_exact_dp,10,61,2,122,1220,122,5,1,0,0,0,0,0,-25.554040724,-2.5554040724,0,0,-0.743694883281,-0.0743694883281,0,exact_finite_cover_hjb_solve,"finite-state/action Bellman-HJB certificate: residual, terminal, and greedy gaps vanish on the inventory state-time/action cover"
finite_cover_inventory_bellman_hjb,valuation_only_exact_dp,10,61,2,122,1220,122,5,0,1,0,0,0,0,-24.8103458407,-2.48103458407,0.743694883281,0.0743694883281,0,0,0.0106602003716,exact_finite_cover_hjb_solve,"finite-state/action Bellman-HJB certificate: residual, terminal, and greedy gaps vanish on the inventory state-time/action cover"
finite_cover_inventory_bellman_hjb,full_valuation_control_exact_dp,10,61,2,122,1220,122,16,1,1,0,0,0,0,-23.5771380514,-2.35771380514,1.9769026726,0.19769026726,1.23320778932,0.123320778932,0,exact_finite_cover_hjb_solve,"finite-state/action Bellman-HJB certificate: residual, terminal, and greedy gaps vanish on the inventory state-time/action cover"
