experiment,method,audit_config,seed,train_steps,width,depth,batch,omega,terminal_weight,actor_hjb_weight,actor_lr,critic_lr,native_hjb_loss,residual_rmse,mean_abs_residual,mean_hamiltonian_abs,normalized_residual_rmse,terminal_boundary_loss,primary_metric,heldout_value,heldout_ci95,certificate_gap_read,claim_status,hjb_loss_ratio_vs_headline,terminal_loss_ratio_vs_headline,heldout_delta_vs_headline,mean_action
exp1_habit_portfolio,nbo_full_ndu,headline_performance_run,packaged_headline,450,56,2,96,1.0,2.0,0.05,5e-06,0.0012,2125.08252772,46.0986174165,27.36217682852801,33.5739608464,1.33333341879,85.17061204423864,mean_utility,-2.796595573378198,0.002658658136257456,headline_certificate_gap,baseline_high_residual_certificate_gap_visible,1,1,0,
inventory_service_level,nbo_full_ndu_inventory,headline_performance_run,packaged_headline,450,56,2,96,1.0,2.0,0.05,5e-06,0.0012,62574.1343104,250.14822468,201.51464532317019,134.69513756,1.8434575415,2062.008626372904,mean_welfare,-3.637521018572943,0.007739204117383378,headline_certificate_gap,baseline_high_residual_certificate_gap_visible,1,1,0,
exp1_habit_portfolio,nbo_full_ndu,exp1_residual_terminal_balanced_2400,20301513,2400,72,2,192,6.0,12.0,0.08,1e-06,0.0008,2812.55350983,53.0335130821,40.8174743499,42.6168822073,1.21589417671,121.625792686,mean_utility,-2.79648039742,0.00271032578459,stronger_residual_closing_run,no_residual_improvement,1.32350319253,1.42802534544,0.000115175958198,0.349941;0.169986;0.0800916
exp1_habit_portfolio,nbo_full_ndu,exp1_residual_terminal_critic_2400,20301514,2400,72,2,192,10.0,18.0,0.0,0.0,0.0009,295.38844345,17.1868683433,11.3713063317,41.6074644273,0.403376933462,42.5496687075,mean_utility,-2.79651174301,0.0027096562662,stronger_residual_closing_run,residual_closed_with_terminal_guardrail,0.13900092801,0.499581577333,8.38303681983e-05,0.35;0.169986;0.080092
inventory_service_level,nbo_full_ndu_inventory,inventory_residual_certificate_balanced_2400,20302513,2400,80,2,192,16.0,32.0,0.1,1e-06,0.0008,12035.6020487,109.706891528,74.2762836832,24.8103230245,4.25050439795,1945.9502096,mean_welfare,-3.637375903,0.00770405204984,stronger_residual_closing_run,residual_closed_with_terminal_guardrail,0.192341487123,0.943715843237,0.000145115572943,36.006;2.19984
inventory_service_level,nbo_full_ndu_inventory,inventory_residual_certificate_critic_2400,20302514,2400,80,2,192,24.0,48.0,0.0,0.0,0.0008,55134.9744098,234.808378066,160.893008056,75.7962739125,3.05754909845,1900.13278516,mean_welfare,-3.63738194916,0.00770405667999,stronger_residual_closing_run,residual_closed_with_terminal_guardrail,0.881114457554,0.921496040733,0.000139069412943,36.006;2.19984
