method,t,inventory,regime,action_pressure,theta
valuation_only_exact_dp,5,11,1,1.1,1.35
valuation_only_exact_dp,5,10,0,1.1,1.6
valuation_only_exact_dp,5,10,1,1.1,1.35
valuation_only_exact_dp,5,9,0,1.1,1.6
valuation_only_exact_dp,5,9,1,1.1,1.35
valuation_only_exact_dp,5,8,0,1.1,1.6
valuation_only_exact_dp,5,8,1,1.1,1.35
valuation_only_exact_dp,5,7,0,1.1,1.6
valuation_only_exact_dp,5,7,1,1.1,1.35
valuation_only_exact_dp,5,6,0,1.1,1.6
valuation_only_exact_dp,5,6,1,1.1,1.35
valuation_only_exact_dp,5,5,0,1.1,1.6
valuation_only_exact_dp,5,5,1,1.1,1.35
valuation_only_exact_dp,5,4,0,1.1,1.6
valuation_only_exact_dp,5,4,1,1.1,1.35
valuation_only_exact_dp,5,3,0,1.1,1.6
valuation_only_exact_dp,5,3,1,1.1,1.35
valuation_only_exact_dp,5,2,0,1.1,1.6
valuation_only_exact_dp,5,2,1,1.1,1.35
valuation_only_exact_dp,5,1,0,1.1,1.6
valuation_only_exact_dp,5,1,1,1.1,1.35
valuation_only_exact_dp,5,0,0,1.1,1.6
valuation_only_exact_dp,5,0,1,1.1,1.35
valuation_only_exact_dp,5,-1,0,1.1,1.35
valuation_only_exact_dp,5,-1,1,1.1,1.35
valuation_only_exact_dp,5,-2,0,1.1,1.35
valuation_only_exact_dp,5,-2,1,1.1,0.85
valuation_only_exact_dp,6,24,0,1.1,1.6
valuation_only_exact_dp,6,24,1,1.1,1.6
valuation_only_exact_dp,6,23,0,1.1,1.6
valuation_only_exact_dp,6,23,1,1.1,1.6
valuation_only_exact_dp,6,22,0,1.1,1.6
valuation_only_exact_dp,6,22,1,1.1,1.6
valuation_only_exact_dp,6,21,0,1.1,1.6
valuation_only_exact_dp,6,21,1,1.1,1.6
valuation_only_exact_dp,6,20,0,1.1,1.6
valuation_only_exact_dp,6,20,1,1.1,1.6
valuation_only_exact_dp,6,19,0,1.1,1.6
valuation_only_exact_dp,6,19,1,1.1,1.35
valuation_only_exact_dp,6,18,0,1.1,1.6
valuation_only_exact_dp,6,18,1,1.1,1.35
valuation_only_exact_dp,6,17,0,1.1,1.6
valuation_only_exact_dp,6,17,1,1.1,1.35
valuation_only_exact_dp,6,16,0,1.1,1.6
valuation_only_exact_dp,6,16,1,1.1,1.35
valuation_only_exact_dp,6,15,0,1.1,1.6
valuation_only_exact_dp,6,15,1,1.1,1.35
valuation_only_exact_dp,6,14,0,1.1,1.6
valuation_only_exact_dp,6,14,1,1.1,1.35
valuation_only_exact_dp,6,13,0,1.1,1.6
valuation_only_exact_dp,6,13,1,1.1,1.35
valuation_only_exact_dp,6,12,0,1.1,1.6
valuation_only_exact_dp,6,12,1,1.1,1.35
valuation_only_exact_dp,6,11,0,1.1,1.6
valuation_only_exact_dp,6,11,1,1.1,1.35
valuation_only_exact_dp,6,10,0,1.1,1.6
valuation_only_exact_dp,6,10,1,1.1,1.35
valuation_only_exact_dp,6,9,0,1.1,1.6
valuation_only_exact_dp,6,9,1,1.1,1.35
valuation_only_exact_dp,6,8,0,1.1,1.6
valuation_only_exact_dp,6,8,1,1.1,1.35
valuation_only_exact_dp,6,7,0,1.1,1.6
valuation_only_exact_dp,6,7,1,1.1,1.35
valuation_only_exact_dp,6,6,0,1.1,1.6
valuation_only_exact_dp,6,6,1,1.1,1.35
valuation_only_exact_dp,6,5,0,1.1,1.6
valuation_only_exact_dp,6,5,1,1.1,1.35
valuation_only_exact_dp,6,4,0,1.1,1.6
valuation_only_exact_dp,6,4,1,1.1,1.35
valuation_only_exact_dp,6,3,0,1.1,1.6
valuation_only_exact_dp,6,3,1,1.1,1.35
valuation_only_exact_dp,6,2,0,1.1,1.6
valuation_only_exact_dp,6,2,1,1.1,1.35
valuation_only_exact_dp,6,1,0,1.1,1.6
valuation_only_exact_dp,6,1,1,1.1,1.35
valuation_only_exact_dp,6,0,0,1.1,1.6
valuation_only_exact_dp,6,0,1,1.1,1.35
valuation_only_exact_dp,6,-1,0,1.1,1.35
valuation_only_exact_dp,6,-1,1,1.1,1.35
valuation_only_exact_dp,6,-2,0,1.1,1.35
valuation_only_exact_dp,6,-2,1,1.1,0.85
valuation_only_exact_dp,7,24,0,1.1,1.6
valuation_only_exact_dp,7,24,1,1.1,1.6
valuation_only_exact_dp,7,23,0,1.1,1.6
valuation_only_exact_dp,7,23,1,1.1,1.6
valuation_only_exact_dp,7,22,0,1.1,1.6
valuation_only_exact_dp,7,22,1,1.1,1.6
valuation_only_exact_dp,7,21,0,1.1,1.6
valuation_only_exact_dp,7,21,1,1.1,1.6
valuation_only_exact_dp,7,20,0,1.1,1.6
valuation_only_exact_dp,7,20,1,1.1,1.6
valuation_only_exact_dp,7,19,0,1.1,1.6
valuation_only_exact_dp,7,19,1,1.1,1.35
valuation_only_exact_dp,7,18,0,1.1,1.6
valuation_only_exact_dp,7,18,1,1.1,1.35
valuation_only_exact_dp,7,17,0,1.1,1.6
valuation_only_exact_dp,7,17,1,1.1,1.35
valuation_only_exact_dp,7,16,0,1.1,1.6
valuation_only_exact_dp,7,16,1,1.1,1.35
valuation_only_exact_dp,7,15,0,1.1,1.6
valuation_only_exact_dp,7,15,1,1.1,1.35
valuation_only_exact_dp,7,14,0,1.1,1.6
valuation_only_exact_dp,7,14,1,1.1,1.35
valuation_only_exact_dp,7,13,0,1.1,1.6
valuation_only_exact_dp,7,13,1,1.1,1.35
valuation_only_exact_dp,7,12,0,1.1,1.6
valuation_only_exact_dp,7,12,1,1.1,1.35
valuation_only_exact_dp,7,11,0,1.1,1.6
valuation_only_exact_dp,7,11,1,1.1,1.35
valuation_only_exact_dp,7,10,0,1.1,1.6
valuation_only_exact_dp,7,10,1,1.1,1.35
valuation_only_exact_dp,7,9,0,1.1,1.6
valuation_only_exact_dp,7,9,1,1.1,1.35
valuation_only_exact_dp,7,8,0,1.1,1.6
valuation_only_exact_dp,7,8,1,1.1,1.35
valuation_only_exact_dp,7,7,0,1.1,1.6
valuation_only_exact_dp,7,7,1,1.1,1.35
valuation_only_exact_dp,7,6,0,1.1,1.6
valuation_only_exact_dp,7,6,1,1.1,1.35
valuation_only_exact_dp,7,5,0,1.1,1.6
valuation_only_exact_dp,7,5,1,1.1,1.35
valuation_only_exact_dp,7,4,0,1.1,1.6
valuation_only_exact_dp,7,4,1,1.1,1.35
valuation_only_exact_dp,7,3,0,1.1,1.6
valuation_only_exact_dp,7,3,1,1.1,1.35
valuation_only_exact_dp,7,2,0,1.1,1.6
valuation_only_exact_dp,7,2,1,1.1,1.35
valuation_only_exact_dp,7,1,0,1.1,1.6
valuation_only_exact_dp,7,1,1,1.1,1.35
valuation_only_exact_dp,7,0,0,1.1,1.6
valuation_only_exact_dp,7,0,1,1.1,1.35
valuation_only_exact_dp,7,-1,0,1.1,1.35
valuation_only_exact_dp,7,-1,1,1.1,1.35
valuation_only_exact_dp,7,-2,0,1.1,1.35
valuation_only_exact_dp,7,-2,1,1.1,0.85
valuation_only_exact_dp,8,24,0,1.1,1.6
valuation_only_exact_dp,8,24,1,1.1,1.6
valuation_only_exact_dp,8,23,0,1.1,1.6
valuation_only_exact_dp,8,23,1,1.1,1.6
valuation_only_exact_dp,8,22,0,1.1,1.6
valuation_only_exact_dp,8,22,1,1.1,1.6
valuation_only_exact_dp,8,21,0,1.1,1.6
valuation_only_exact_dp,8,21,1,1.1,1.6
valuation_only_exact_dp,8,20,0,1.1,1.6
valuation_only_exact_dp,8,20,1,1.1,1.6
valuation_only_exact_dp,8,19,0,1.1,1.6
valuation_only_exact_dp,8,19,1,1.1,1.35
valuation_only_exact_dp,8,18,0,1.1,1.6
valuation_only_exact_dp,8,18,1,1.1,1.35
valuation_only_exact_dp,8,17,0,1.1,1.6
valuation_only_exact_dp,8,17,1,1.1,1.35
valuation_only_exact_dp,8,16,0,1.1,1.6
valuation_only_exact_dp,8,16,1,1.1,1.35
valuation_only_exact_dp,8,15,0,1.1,1.6
valuation_only_exact_dp,8,15,1,1.1,1.35
valuation_only_exact_dp,8,14,0,1.1,1.6
valuation_only_exact_dp,8,14,1,1.1,1.35
valuation_only_exact_dp,8,13,0,1.1,1.6
valuation_only_exact_dp,8,13,1,1.1,1.35
valuation_only_exact_dp,8,12,0,1.1,1.6
valuation_only_exact_dp,8,12,1,1.1,1.35
valuation_only_exact_dp,8,11,0,1.1,1.6
valuation_only_exact_dp,8,11,1,1.1,1.35
valuation_only_exact_dp,8,10,0,1.1,1.6
valuation_only_exact_dp,8,10,1,1.1,1.35
valuation_only_exact_dp,8,9,0,1.1,1.6
valuation_only_exact_dp,8,9,1,1.1,1.35
valuation_only_exact_dp,8,8,0,1.1,1.6
valuation_only_exact_dp,8,8,1,1.1,1.35
valuation_only_exact_dp,8,7,0,1.1,1.6
valuation_only_exact_dp,8,7,1,1.1,1.35
valuation_only_exact_dp,8,6,0,1.1,1.6
valuation_only_exact_dp,8,6,1,1.1,1.35
valuation_only_exact_dp,8,5,0,1.1,1.6
valuation_only_exact_dp,8,5,1,1.1,1.35
valuation_only_exact_dp,8,4,0,1.1,1.6
valuation_only_exact_dp,8,4,1,1.1,1.35
valuation_only_exact_dp,8,3,0,1.1,1.6
valuation_only_exact_dp,8,3,1,1.1,1.35
valuation_only_exact_dp,8,2,0,1.1,1.6
valuation_only_exact_dp,8,2,1,1.1,1.35
valuation_only_exact_dp,8,1,0,1.1,1.6
valuation_only_exact_dp,8,1,1,1.1,1.35
valuation_only_exact_dp,8,0,0,1.1,1.6
valuation_only_exact_dp,8,0,1,1.1,1.35
valuation_only_exact_dp,8,-1,0,1.1,1.35
valuation_only_exact_dp,8,-1,1,1.1,1.35
valuation_only_exact_dp,8,-2,0,1.1,1.35
valuation_only_exact_dp,8,-2,1,1.1,0.85
valuation_only_exact_dp,9,24,0,1.1,1.6
valuation_only_exact_dp,9,24,1,1.1,1.6
valuation_only_exact_dp,9,23,0,1.1,1.6
valuation_only_exact_dp,9,23,1,1.1,1.6
valuation_only_exact_dp,9,22,0,1.1,1.6
valuation_only_exact_dp,9,22,1,1.1,1.6
valuation_only_exact_dp,9,21,0,1.1,1.6
valuation_only_exact_dp,9,21,1,1.1,1.6
valuation_only_exact_dp,9,20,0,1.1,1.6
valuation_only_exact_dp,9,20,1,1.1,1.6
valuation_only_exact_dp,9,19,0,1.1,1.6
valuation_only_exact_dp,9,19,1,1.1,1.35
valuation_only_exact_dp,9,18,0,1.1,1.6
valuation_only_exact_dp,9,18,1,1.1,0.85
valuation_only_exact_dp,9,17,0,1.1,1.6
valuation_only_exact_dp,9,17,1,1.1,0.85
valuation_only_exact_dp,9,16,0,1.1,1.6
valuation_only_exact_dp,9,16,1,1.1,0.85
valuation_only_exact_dp,9,15,0,1.1,1.6
valuation_only_exact_dp,9,15,1,1.1,0.85
valuation_only_exact_dp,9,14,0,1.1,1.6
valuation_only_exact_dp,9,14,1,1.1,0.85
valuation_only_exact_dp,9,13,0,1.1,1.6
valuation_only_exact_dp,9,13,1,1.1,0.85
valuation_only_exact_dp,9,12,0,1.1,1.6
valuation_only_exact_dp,9,12,1,1.1,0.85
valuation_only_exact_dp,9,11,0,1.1,1.6
valuation_only_exact_dp,9,11,1,1.1,0.85
valuation_only_exact_dp,9,10,0,1.1,1.6
valuation_only_exact_dp,9,10,1,1.1,0.85
valuation_only_exact_dp,9,9,0,1.1,1.6
valuation_only_exact_dp,9,9,1,1.1,0.85
valuation_only_exact_dp,9,8,0,1.1,1.6
valuation_only_exact_dp,9,8,1,1.1,0.85
valuation_only_exact_dp,9,7,0,1.1,1.6
valuation_only_exact_dp,9,7,1,1.1,0.85
valuation_only_exact_dp,9,6,0,1.1,1.6
valuation_only_exact_dp,9,6,1,1.1,0.85
valuation_only_exact_dp,9,5,0,1.1,1.6
valuation_only_exact_dp,9,5,1,1.1,0.85
valuation_only_exact_dp,9,4,0,1.1,1.6
valuation_only_exact_dp,9,4,1,1.1,0.85
valuation_only_exact_dp,9,3,0,1.1,1.6
valuation_only_exact_dp,9,3,1,1.1,0.85
valuation_only_exact_dp,9,2,0,1.1,1.6
valuation_only_exact_dp,9,2,1,1.1,0.85
valuation_only_exact_dp,9,1,0,1.1,1.6
valuation_only_exact_dp,9,1,1,1.1,0.85
valuation_only_exact_dp,9,0,0,1.1,1.6
valuation_only_exact_dp,9,0,1,1.1,0.85
valuation_only_exact_dp,9,-1,0,1.1,0.85
valuation_only_exact_dp,9,-1,1,1.1,0.85
valuation_only_exact_dp,9,-2,0,1.1,0.85
valuation_only_exact_dp,9,-2,1,1.1,0.85
full_valuation_control_exact_dp,0,24,0,1.2,2.2
full_valuation_control_exact_dp,0,24,1,1.2,2.2
full_valuation_control_exact_dp,1,24,0,1.2,2.2
full_valuation_control_exact_dp,1,24,1,1.2,2.2
full_valuation_control_exact_dp,1,23,0,1.2,2.2
full_valuation_control_exact_dp,1,23,1,1.2,2.2
full_valuation_control_exact_dp,1,22,0,1.2,2.2
full_valuation_control_exact_dp,1,22,1,1.2,2.2
full_valuation_control_exact_dp,1,21,0,1.2,2.2
full_valuation_control_exact_dp,1,21,1,1.2,2.2
full_valuation_control_exact_dp,1,20,0,1.2,2.2
full_valuation_control_exact_dp,1,20,1,1.2,2.2
full_valuation_control_exact_dp,1,19,0,1.2,2.2
full_valuation_control_exact_dp,1,19,1,1.1,1.35
full_valuation_control_exact_dp,1,18,0,1.2,2.2
full_valuation_control_exact_dp,1,18,1,0.7,1.0
full_valuation_control_exact_dp,1,17,0,1.2,2.2
full_valuation_control_exact_dp,1,17,1,0.7,1.0
full_valuation_control_exact_dp,1,16,0,1.2,2.2
full_valuation_control_exact_dp,1,16,1,0.7,1.0
full_valuation_control_exact_dp,1,15,0,1.2,2.2
full_valuation_control_exact_dp,1,15,1,0.7,1.0
full_valuation_control_exact_dp,1,14,0,1.2,2.2
full_valuation_control_exact_dp,1,14,1,0.7,1.0
full_valuation_control_exact_dp,1,13,0,1.2,2.2
full_valuation_control_exact_dp,1,13,1,0.7,1.0
full_valuation_control_exact_dp,1,12,0,1.2,2.2
full_valuation_control_exact_dp,1,12,1,0.7,1.0
full_valuation_control_exact_dp,1,11,0,1.2,2.2
full_valuation_control_exact_dp,1,11,1,0.7,1.0
full_valuation_control_exact_dp,1,10,0,1.2,2.2
full_valuation_control_exact_dp,1,10,1,0.7,1.0
full_valuation_control_exact_dp,2,24,0,1.2,2.2
full_valuation_control_exact_dp,2,24,1,1.2,2.2
full_valuation_control_exact_dp,2,23,0,1.2,2.2
full_valuation_control_exact_dp,2,23,1,1.2,2.2
full_valuation_control_exact_dp,2,22,0,1.2,2.2
full_valuation_control_exact_dp,2,22,1,1.2,2.2
full_valuation_control_exact_dp,2,21,0,1.2,2.2
full_valuation_control_exact_dp,2,21,1,1.2,2.2
full_valuation_control_exact_dp,2,20,0,1.2,2.2
full_valuation_control_exact_dp,2,20,1,1.2,2.2
full_valuation_control_exact_dp,2,19,0,1.2,2.2
full_valuation_control_exact_dp,2,19,1,1.1,1.35
full_valuation_control_exact_dp,2,18,0,1.2,2.2
full_valuation_control_exact_dp,2,18,1,0.7,1.0
full_valuation_control_exact_dp,2,17,0,1.2,2.2
full_valuation_control_exact_dp,2,17,1,0.7,1.0
full_valuation_control_exact_dp,2,16,0,1.2,2.2
full_valuation_control_exact_dp,2,16,1,0.7,1.0
full_valuation_control_exact_dp,2,15,0,1.2,2.2
full_valuation_control_exact_dp,2,15,1,0.7,1.0
full_valuation_control_exact_dp,2,14,0,1.2,2.2
full_valuation_control_exact_dp,2,14,1,0.7,1.0
full_valuation_control_exact_dp,2,13,0,1.2,2.2
full_valuation_control_exact_dp,2,13,1,0.7,1.0
full_valuation_control_exact_dp,2,12,0,1.2,2.2
full_valuation_control_exact_dp,2,12,1,0.7,1.0
full_valuation_control_exact_dp,2,11,0,1.2,2.2
full_valuation_control_exact_dp,2,11,1,0.7,1.0
full_valuation_control_exact_dp,2,10,0,1.2,2.2
full_valuation_control_exact_dp,2,10,1,0.7,1.0
full_valuation_control_exact_dp,2,9,0,1.2,2.2
full_valuation_control_exact_dp,2,9,1,0.7,1.0
full_valuation_control_exact_dp,2,8,0,1.2,2.2
full_valuation_control_exact_dp,2,8,1,0.7,1.0
full_valuation_control_exact_dp,2,7,0,1.2,2.2
full_valuation_control_exact_dp,2,7,1,0.7,1.0
full_valuation_control_exact_dp,2,6,0,1.2,2.2
full_valuation_control_exact_dp,2,6,1,0.7,1.0
full_valuation_control_exact_dp,2,5,0,1.2,2.2
full_valuation_control_exact_dp,2,5,1,0.7,1.0
full_valuation_control_exact_dp,2,4,0,1.2,2.2
full_valuation_control_exact_dp,2,4,1,0.7,1.0
full_valuation_control_exact_dp,2,3,0,1.2,2.2
full_valuation_control_exact_dp,2,3,1,0.7,1.0
full_valuation_control_exact_dp,2,2,0,1.2,2.2
full_valuation_control_exact_dp,2,2,1,0.7,1.0
full_valuation_control_exact_dp,2,1,0,1.2,2.2
full_valuation_control_exact_dp,2,1,1,0.7,1.0
full_valuation_control_exact_dp,2,0,0,1.2,2.2
full_valuation_control_exact_dp,2,0,1,0.7,1.0
full_valuation_control_exact_dp,2,-1,0,0.7,1.0
full_valuation_control_exact_dp,2,-1,1,0.7,1.0
full_valuation_control_exact_dp,3,24,0,1.2,2.2
full_valuation_control_exact_dp,3,24,1,1.2,2.2
full_valuation_control_exact_dp,3,23,0,1.2,2.2
full_valuation_control_exact_dp,3,23,1,1.2,2.2
full_valuation_control_exact_dp,3,22,0,1.2,2.2
full_valuation_control_exact_dp,3,22,1,1.2,2.2
full_valuation_control_exact_dp,3,21,0,1.2,2.2
full_valuation_control_exact_dp,3,21,1,1.2,2.2
full_valuation_control_exact_dp,3,20,0,1.2,2.2
full_valuation_control_exact_dp,3,20,1,1.2,2.2
full_valuation_control_exact_dp,3,19,0,1.2,2.2
full_valuation_control_exact_dp,3,19,1,1.1,1.35
full_valuation_control_exact_dp,3,18,0,1.2,2.2
full_valuation_control_exact_dp,3,18,1,0.7,1.0
full_valuation_control_exact_dp,3,17,0,1.2,2.2
full_valuation_control_exact_dp,3,17,1,0.7,1.0
full_valuation_control_exact_dp,3,16,0,1.2,2.2
full_valuation_control_exact_dp,3,16,1,0.7,1.0
full_valuation_control_exact_dp,3,15,0,1.2,2.2
full_valuation_control_exact_dp,3,15,1,0.7,1.0
full_valuation_control_exact_dp,3,14,0,1.2,2.2
full_valuation_control_exact_dp,3,14,1,0.7,1.0
full_valuation_control_exact_dp,3,13,0,1.2,2.2
full_valuation_control_exact_dp,3,13,1,0.7,1.0
full_valuation_control_exact_dp,3,12,0,1.2,2.2
full_valuation_control_exact_dp,3,12,1,0.7,1.0
full_valuation_control_exact_dp,3,11,0,1.2,2.2
full_valuation_control_exact_dp,3,11,1,0.7,1.0
full_valuation_control_exact_dp,3,10,0,1.2,2.2
full_valuation_control_exact_dp,3,10,1,0.7,1.0
full_valuation_control_exact_dp,3,9,0,1.2,2.2
full_valuation_control_exact_dp,3,9,1,0.7,1.0
full_valuation_control_exact_dp,3,8,0,1.2,2.2
full_valuation_control_exact_dp,3,8,1,0.7,1.0
full_valuation_control_exact_dp,3,7,0,1.2,2.2
full_valuation_control_exact_dp,3,7,1,0.7,1.0
full_valuation_control_exact_dp,3,6,0,1.2,2.2
full_valuation_control_exact_dp,3,6,1,0.7,1.0
full_valuation_control_exact_dp,3,5,0,1.2,2.2
full_valuation_control_exact_dp,3,5,1,0.7,1.0
full_valuation_control_exact_dp,3,4,0,1.2,2.2
full_valuation_control_exact_dp,3,4,1,0.7,1.0
full_valuation_control_exact_dp,3,3,0,1.2,2.2
full_valuation_control_exact_dp,3,3,1,0.7,1.0
full_valuation_control_exact_dp,3,2,0,1.2,2.2
full_valuation_control_exact_dp,3,2,1,0.7,1.0
full_valuation_control_exact_dp,3,1,0,1.2,2.2
full_valuation_control_exact_dp,3,1,1,0.7,1.0
full_valuation_control_exact_dp,3,0,0,1.2,2.2
full_valuation_control_exact_dp,3,0,1,0.7,1.0
full_valuation_control_exact_dp,3,-1,0,0.7,1.0
full_valuation_control_exact_dp,3,-1,1,0.7,1.0
full_valuation_control_exact_dp,3,-2,0,0.7,1.0
full_valuation_control_exact_dp,3,-2,1,0.7,1.0
full_valuation_control_exact_dp,4,24,0,1.2,2.2
full_valuation_control_exact_dp,4,24,1,1.2,2.2
full_valuation_control_exact_dp,4,23,0,1.2,2.2
full_valuation_control_exact_dp,4,23,1,1.2,2.2
full_valuation_control_exact_dp,4,22,0,1.2,2.2
full_valuation_control_exact_dp,4,22,1,1.2,2.2
full_valuation_control_exact_dp,4,21,0,1.2,2.2
full_valuation_control_exact_dp,4,21,1,1.2,2.2
full_valuation_control_exact_dp,4,20,0,1.2,2.2
full_valuation_control_exact_dp,4,20,1,1.2,2.2
full_valuation_control_exact_dp,4,19,0,1.2,2.2
full_valuation_control_exact_dp,4,19,1,1.1,1.35
full_valuation_control_exact_dp,4,18,0,1.2,2.2
full_valuation_control_exact_dp,4,18,1,0.7,1.0
full_valuation_control_exact_dp,4,17,0,1.2,2.2
full_valuation_control_exact_dp,4,17,1,0.7,1.0
full_valuation_control_exact_dp,4,16,0,1.2,2.2
full_valuation_control_exact_dp,4,16,1,0.7,1.0
full_valuation_control_exact_dp,4,15,0,1.2,2.2
full_valuation_control_exact_dp,4,15,1,0.7,1.0
full_valuation_control_exact_dp,4,14,0,1.2,2.2
full_valuation_control_exact_dp,4,14,1,0.7,1.0
full_valuation_control_exact_dp,4,13,0,1.2,2.2
full_valuation_control_exact_dp,4,13,1,0.7,1.0
full_valuation_control_exact_dp,4,12,0,1.2,2.2
full_valuation_control_exact_dp,4,12,1,0.7,1.0
full_valuation_control_exact_dp,4,11,0,1.2,2.2
full_valuation_control_exact_dp,4,11,1,0.7,1.0
full_valuation_control_exact_dp,4,10,0,1.2,2.2
full_valuation_control_exact_dp,4,10,1,0.7,1.0
full_valuation_control_exact_dp,4,9,0,1.2,2.2
full_valuation_control_exact_dp,4,9,1,0.7,1.0
full_valuation_control_exact_dp,4,8,0,1.2,2.2
full_valuation_control_exact_dp,4,8,1,0.7,1.0
full_valuation_control_exact_dp,4,7,0,1.2,2.2
full_valuation_control_exact_dp,4,7,1,0.7,1.0
full_valuation_control_exact_dp,4,6,0,1.2,2.2
full_valuation_control_exact_dp,4,6,1,0.7,1.0
full_valuation_control_exact_dp,4,5,0,1.2,2.2
full_valuation_control_exact_dp,4,5,1,0.7,1.0
full_valuation_control_exact_dp,4,4,0,1.2,2.2
full_valuation_control_exact_dp,4,4,1,0.7,1.0
full_valuation_control_exact_dp,4,3,0,1.2,2.2
full_valuation_control_exact_dp,4,3,1,0.7,1.0
full_valuation_control_exact_dp,4,2,0,1.2,2.2
full_valuation_control_exact_dp,4,2,1,0.7,1.0
full_valuation_control_exact_dp,4,1,0,1.2,2.2
full_valuation_control_exact_dp,4,1,1,0.7,1.0
full_valuation_control_exact_dp,4,0,0,1.2,2.2
full_valuation_control_exact_dp,4,0,1,0.7,1.0
full_valuation_control_exact_dp,4,-1,0,0.7,1.0
full_valuation_control_exact_dp,4,-1,1,0.7,1.0
full_valuation_control_exact_dp,4,-2,0,0.7,1.0
full_valuation_control_exact_dp,4,-2,1,0.7,1.0
full_valuation_control_exact_dp,5,24,0,1.2,2.2
full_valuation_control_exact_dp,5,24,1,1.2,2.2
full_valuation_control_exact_dp,5,23,0,1.2,2.2
full_valuation_control_exact_dp,5,23,1,1.2,2.2
full_valuation_control_exact_dp,5,22,0,1.2,2.2
full_valuation_control_exact_dp,5,22,1,1.2,2.2
full_valuation_control_exact_dp,5,21,0,1.2,2.2
full_valuation_control_exact_dp,5,21,1,1.2,2.2
full_valuation_control_exact_dp,5,20,0,1.2,2.2
full_valuation_control_exact_dp,5,20,1,1.2,2.2
full_valuation_control_exact_dp,5,19,0,1.2,2.2
full_valuation_control_exact_dp,5,19,1,1.1,1.35
full_valuation_control_exact_dp,5,18,0,1.2,2.2
full_valuation_control_exact_dp,5,18,1,0.7,1.0
full_valuation_control_exact_dp,5,17,0,1.2,2.2
full_valuation_control_exact_dp,5,17,1,0.7,1.0
full_valuation_control_exact_dp,5,16,0,1.2,2.2
full_valuation_control_exact_dp,5,16,1,0.7,1.0
full_valuation_control_exact_dp,5,15,0,1.2,2.2
full_valuation_control_exact_dp,5,15,1,0.7,1.0
full_valuation_control_exact_dp,5,14,0,1.2,2.2
full_valuation_control_exact_dp,5,14,1,0.7,1.0
full_valuation_control_exact_dp,5,13,0,1.2,2.2
full_valuation_control_exact_dp,5,13,1,0.7,1.0
full_valuation_control_exact_dp,5,12,0,1.2,2.2
full_valuation_control_exact_dp,5,12,1,0.7,1.0
full_valuation_control_exact_dp,5,11,0,1.2,2.2
full_valuation_control_exact_dp,5,11,1,0.7,1.0
full_valuation_control_exact_dp,5,10,0,1.2,2.2
full_valuation_control_exact_dp,5,10,1,0.7,1.0
full_valuation_control_exact_dp,5,9,0,1.2,2.2
full_valuation_control_exact_dp,5,9,1,0.7,1.0
full_valuation_control_exact_dp,5,8,0,1.2,2.2
full_valuation_control_exact_dp,5,8,1,0.7,1.0
full_valuation_control_exact_dp,5,7,0,1.2,2.2
full_valuation_control_exact_dp,5,7,1,0.7,1.0
full_valuation_control_exact_dp,5,6,0,1.2,2.2
full_valuation_control_exact_dp,5,6,1,0.7,1.0
full_valuation_control_exact_dp,5,5,0,1.2,2.2
full_valuation_control_exact_dp,5,5,1,0.7,1.0
full_valuation_control_exact_dp,5,4,0,1.2,2.2
full_valuation_control_exact_dp,5,4,1,0.7,1.0
full_valuation_control_exact_dp,5,3,0,1.2,2.2
full_valuation_control_exact_dp,5,3,1,0.7,1.0
full_valuation_control_exact_dp,5,2,0,1.2,2.2
full_valuation_control_exact_dp,5,2,1,0.7,1.0
full_valuation_control_exact_dp,5,1,0,1.2,2.2
full_valuation_control_exact_dp,5,1,1,0.7,1.0
full_valuation_control_exact_dp,5,0,0,1.2,2.2
full_valuation_control_exact_dp,5,0,1,0.7,1.0
full_valuation_control_exact_dp,5,-1,0,0.7,1.0
full_valuation_control_exact_dp,5,-1,1,0.7,1.0
full_valuation_control_exact_dp,5,-2,0,0.7,1.0
full_valuation_control_exact_dp,5,-2,1,0.7,1.0
full_valuation_control_exact_dp,6,24,0,1.2,2.2
full_valuation_control_exact_dp,6,24,1,1.2,2.2
full_valuation_control_exact_dp,6,23,0,1.2,2.2
full_valuation_control_exact_dp,6,23,1,1.2,2.2
full_valuation_control_exact_dp,6,22,0,1.2,2.2
full_valuation_control_exact_dp,6,22,1,1.2,2.2
full_valuation_control_exact_dp,6,21,0,1.2,2.2
full_valuation_control_exact_dp,6,21,1,1.2,2.2
full_valuation_control_exact_dp,6,20,0,1.2,2.2
full_valuation_control_exact_dp,6,20,1,1.2,2.2
full_valuation_control_exact_dp,6,19,0,1.2,2.2
full_valuation_control_exact_dp,6,19,1,1.1,1.35
full_valuation_control_exact_dp,6,18,0,1.2,2.2
full_valuation_control_exact_dp,6,18,1,0.7,1.0
full_valuation_control_exact_dp,6,17,0,1.2,2.2
full_valuation_control_exact_dp,6,17,1,0.7,1.0
full_valuation_control_exact_dp,6,16,0,1.2,2.2
full_valuation_control_exact_dp,6,16,1,0.7,1.0
full_valuation_control_exact_dp,6,15,0,1.2,2.2
full_valuation_control_exact_dp,6,15,1,0.7,1.0
full_valuation_control_exact_dp,6,14,0,1.2,2.2
full_valuation_control_exact_dp,6,14,1,0.7,1.0
full_valuation_control_exact_dp,6,13,0,1.2,2.2
full_valuation_control_exact_dp,6,13,1,0.7,1.0
full_valuation_control_exact_dp,6,12,0,1.2,2.2
full_valuation_control_exact_dp,6,12,1,0.7,1.0
