method,seed,mean_utility,cew,ruin_prob,surplus_ratio,adaptation_lag,wealth_terminal
full_ndu_joint,1011,-2.7291110157185288,-0.9347227056296946,1.0,0.0,0.5,1.030411238233051
full_ndu_joint,2011,-2.7240834729599626,-0.9343936948762801,1.0,0.0,0.5,1.0406860215606737
full_ndu_joint,3011,-2.728792970029843,-0.934701941165802,1.0,0.0,0.5,1.051288072005675
full_ndu_joint,4011,-2.7314430750368652,-0.9348747587849062,1.0,0.0,0.5,1.0242433253778305
full_ndu_joint,5011,-2.741030877090573,-0.9354961829002623,1.0,0.0,0.5,1.0032295069273751
full_ndu_joint,6011,-2.730183278181419,-0.9347926625093561,1.0,0.0,0.5,1.034908228873118
full_ndu_joint,7011,-2.7203604456588004,-0.9341489855641093,1.0,0.0,0.5,1.0534320308299467
full_ndu_joint,8011,-2.7278684028165308,-0.9346415408037163,1.0,0.0,0.5,1.0359374776085366
full_ndu_joint,9011,-2.7325430645408435,-0.9349463564811104,1.0,0.0,0.5,1.0180812582659493
full_ndu_joint,10011,-2.726006088380412,-0.9345197093926463,1.0,0.0,0.5,1.0408613899492423
full_ndu_joint,11011,-2.7172753072205804,-0.9339455123581624,1.0,0.0,0.5,1.0654293058137447
full_ndu_joint,12011,-2.7178494748147637,-0.9339834278184608,1.0,0.0,0.5,1.0586556012550072
full_ndu_joint,13011,-2.7269581567324055,-0.9345820214376431,1.0,0.0,0.5,1.037958263450579
full_ndu_joint,14011,-2.7275886266596796,-0.9346232525069893,1.0,0.0,0.5,1.03886494483468
full_ndu_joint,15011,-2.729584650024111,-0.9347536158750298,1.0,0.0,0.5,1.0318486556739692
full_ndu_joint,16011,-2.7280333522808426,-0.9346523207574509,1.0,0.0,0.5,1.0513084414717615
full_ndu_joint,17011,-2.7260464862060836,-0.9345223546005805,1.0,0.0,0.5,1.033915117323129
full_ndu_joint,18011,-2.727460142295029,-0.9346148520774744,1.0,0.0,0.5,1.0323089469219258
full_ndu_joint,19011,-2.7326322302041297,-0.9349521567737866,1.0,0.0,0.5,1.025553260155744
full_ndu_joint,20011,-2.7286570798569114,-0.9346930671983661,1.0,0.0,0.5,1.0258711128068798
full_ndu_joint,21011,-2.733537828598643,-0.9350110373310857,1.0,0.0,0.5,1.0139933667516319
full_ndu_joint,22011,-2.732411432731747,-0.9349377927887108,1.0,0.0,0.5,1.032743529088237
full_ndu_joint,23011,-2.7342688412318106,-0.9350585277236598,1.0,0.0,0.5,1.0291294006800233
full_ndu_joint,24011,-2.733106247201276,-0.9349829832503894,1.0,0.0,0.5,1.0257711366027835
full_ndu_joint,25011,-2.7337641898149387,-0.9350257466468491,1.0,0.0,0.5,1.0268248106719366
full_ndu_joint,26011,-2.727293285929101,-0.9346039412390602,1.0,0.0,0.5,1.0341386034796163
full_ndu_joint,27011,-2.7260198417715413,-0.9345206099625013,1.0,0.0,0.5,1.0315427746116113
full_ndu_joint,28011,-2.729624937126098,-0.934756244409813,1.0,0.0,0.5,1.0261721297062725
full_ndu_joint,29011,-2.722160383126786,-0.9342674066650376,1.0,0.0,0.5,1.0460790607897037
full_ndu_joint,30011,-2.7259455568364928,-0.934515745649595,1.0,0.0,0.5,1.0344150805845302
