method,seed,param_dim,cem_iterations,cem_population,policy_evaluations,search_mean_welfare,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,theta_std,service_breach_count
full_ndu_inventory,1061,12,11,26,286,-3.719463709152022,-3.7449313885519495,4.3460855849830295,0.999780505022635,0.19985851559808376,8.76735228793099,23.034704509942017,0.20766810569817928,1.236328125
full_ndu_inventory,2061,12,11,26,286,-3.6316764101772887,-3.7314120530681,4.319544438553214,0.9995956497481393,0.3786434257722789,8.088487653266714,22.948765837930658,0.11762793517591155,1.62109375
full_ndu_inventory,3061,12,11,26,286,-3.5807175132224778,-3.735040688828688,4.326164166330985,0.9996399464065371,0.32954502614295333,8.265137772828686,22.989160901591397,0.0857538153039138,1.533203125
full_ndu_inventory,4061,12,11,26,286,-3.7082622503594056,-3.697378040721322,4.292630113122085,0.9997019192063453,0.27951901132938994,8.3514305831978,22.946842671074023,0.13691580133555475,1.412109375
full_ndu_inventory,5061,12,11,26,286,-3.5271928685857845,-3.760447788998246,4.35185856622445,0.9998150190282755,0.17395321616178072,8.305131435271413,23.1666457571157,0.10475032792299527,1.5703125
full_ndu_inventory,6061,12,11,26,286,-3.765495823311501,-3.6955882897284043,4.290332325294669,0.9996823599145332,0.2903364692244573,8.36081455906897,22.972643708348116,0.09516005113899667,1.423828125
full_ndu_inventory,7061,12,11,26,286,-3.526699451747176,-3.708429191229974,4.2928869981344615,0.9995904289880612,0.3889421799350523,7.836924204043371,22.950256165573148,0.10837995785731691,1.7421875
full_ndu_inventory,8061,12,11,26,286,-3.6759058892495324,-3.7012632174839957,4.299973339490844,0.9997313433758561,0.24679655624849844,8.575372137423205,22.921063020338615,0.132190901551695,1.3046875
full_ndu_inventory,9061,12,11,26,286,-3.732728912210059,-3.690525618295923,4.290513012957182,0.9997152212076574,0.2665105115780626,8.604492071649823,22.88696844466065,0.10548831830411931,1.2578125
full_ndu_inventory,10061,12,11,26,286,-3.701214230493806,-3.7308229933148263,4.317351460009036,0.9996515075555261,0.3209406407168965,7.9981816428935435,22.970867706522146,0.05560573865601555,1.689453125
full_ndu_inventory,11061,12,11,26,286,-3.7956248386004745,-3.702935710478656,4.299370372180777,0.999710582712765,0.2595234191294207,8.410331031651724,22.97151205049111,0.03645029965265707,1.375
full_ndu_inventory,12061,12,11,26,286,-3.765027459328472,-3.721611523341224,4.3160959738564735,0.9996352633456561,0.3348557842371295,8.418391228558741,22.98067779449664,0.03608940806309178,1.419921875
full_ndu_inventory,13061,12,11,26,286,-3.6389472049380758,-3.6949110877729265,4.289923087284526,0.9996572616577,0.3117876582240644,8.336185879549774,22.896861340133576,0.02899099387620927,1.408203125
full_ndu_inventory,14061,12,11,26,286,-3.611182408586077,-3.700124196694746,4.2984102227766705,0.9997369251352406,0.24449688784792056,8.43851033928238,23.003466694873076,0.1577765337991044,1.3203125
full_ndu_inventory,15061,12,11,26,286,-3.7133515109401327,-3.7187846925031867,4.321639156880623,0.9997879603909295,0.1960669785821888,8.829484567228707,22.95762791903266,0.14222663102639405,1.181640625
full_ndu_inventory,16061,12,11,26,286,-3.8272137630657963,-3.7315547415826984,4.325753895277282,0.999628898118073,0.33143126311738885,8.500176641439431,22.86015314202389,0.13870591067793267,1.427734375
full_ndu_inventory,17061,12,11,26,286,-3.7883518612896143,-3.726435561287346,4.32594096008025,0.9997208896928631,0.2647006813734959,8.656020258831663,22.908347002150688,0.08195693835750337,1.275390625
full_ndu_inventory,18061,12,11,26,286,-3.7501575013208446,-3.7083089933780027,4.304490341739568,0.9997521607326956,0.2238706543073125,8.412306308199579,22.879152633821153,0.0777749489900007,1.39453125
full_ndu_inventory,19061,12,11,26,286,-3.7020284849106857,-3.7000874222969617,4.29830162594349,0.999757244205816,0.22826081097476558,8.484115427546051,22.90098276148222,0.08405178945770259,1.328125
full_ndu_inventory,20061,12,11,26,286,-3.743596476203855,-3.726633174110206,4.324853718834054,0.9998019821529809,0.17904829480689688,8.579355056183891,23.053830791434663,0.03191052305926016,1.33984375
full_ndu_inventory,21061,12,11,26,286,-3.7226447191197445,-3.7303645704757105,4.329918323315838,0.9997928519175159,0.1933960947444788,8.750378188591885,22.955113368760284,0.13311159321489768,1.29296875
full_ndu_inventory,22061,12,11,26,286,-3.6396707736374374,-3.689381861540328,4.28687961328361,0.9997555783429104,0.2295609997861054,8.3970721689546,23.093734949941563,0.1018516110825557,1.3515625
full_ndu_inventory,23061,12,11,26,286,-3.691521294771201,-3.690875155357369,4.290247921027153,0.9996676894587231,0.3017514036669394,8.591675663908457,22.88507127352515,0.11292874424088004,1.265625
full_ndu_inventory,24061,12,11,26,286,-3.652612839228191,-3.6775592311496847,4.273338316428088,0.9996359598785505,0.3341823152519704,8.330196526581725,22.78219026135457,0.034137962683726424,1.376953125
full_ndu_inventory,25061,12,11,26,286,-3.861929694178935,-3.6680016793743393,4.269215884591801,0.9997733576834327,0.21256874144851523,8.573886369454076,23.08943306452175,0.164392466826458,1.232421875
full_ndu_inventory,26061,12,11,26,286,-3.6991843855183473,-3.6880736091087405,4.282263267428859,0.9996496838525148,0.3278055348620639,8.319223662281296,22.92966746758169,0.11989451569179123,1.43359375
full_ndu_inventory,27061,12,11,26,286,-3.55736205178953,-3.6817464792527765,4.269447217902066,0.9997174751436613,0.2604871926646023,7.918446767240033,22.836215796343097,0.05572494928153285,1.66796875
full_ndu_inventory,28061,12,11,26,286,-3.7908271081058924,-3.704404591350676,4.3071041542328405,0.9997319766102707,0.24552113010860038,8.792659289965748,22.96363004222127,0.15228175453402382,1.171875
full_ndu_inventory,29061,12,11,26,286,-3.6942429962733967,-3.6876643859950198,4.27964033916644,0.9997758027401776,0.2068650726925227,8.00760717453199,22.96886042627184,0.12553180506401024,1.541015625
