audit,epsilon,method,seed,training_samples,noise_std,network,train_p_rmse_direct,train_p_rmse_z_inverted,mean_welfare,avg_cost,fill_rate,ending_backlog,avg_inventory,avg_order,service_breach_count,theta_rmse,p_rmse
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,19841,720,0.03,numpy_tanh_mlp_width_32,0.009445085445277543,0.04073032937111421,-6.279336697393636,6.9169732399605195,0.9999755639146104,0.01990664995222293,19.94455949678308,23.270176665907517,0.072265625,0.0074982009843100345,0.009730946072193528
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,19841,720,0.03,numpy_tanh_mlp_width_32,0.009445085445277543,0.04073032937111421,-6.343588724609982,6.981153205602768,0.9999812046553482,0.015164524397980092,20.163769462428437,23.29488054464733,0.076171875,0.03919252763619021,0.046229509097296596
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,20841,720,0.03,numpy_tanh_mlp_width_32,0.017504804781176473,0.024800923590540584,-6.28613114027044,6.92313344125996,0.9999768501236902,0.018278675991954874,19.942913003631837,23.215754213544653,0.09375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,20841,720,0.03,numpy_tanh_mlp_width_32,0.017504804781176473,0.024800923590540584,-6.2670701976945935,6.904127662557689,0.9999764213891369,0.01867098050763418,19.87701642976714,23.211315213644276,0.091796875,0.012176687097410951,0.014937862842903703
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,20841,720,0.03,numpy_tanh_mlp_width_32,0.017504804781176473,0.024800923590540584,-6.267789522638827,6.904805786744916,0.9999785955132611,0.016804876624487326,19.870444651761836,23.22216900887505,0.09375,0.02175622470200368,0.0264138495674724
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,21841,720,0.03,numpy_tanh_mlp_width_32,0.012752623585390109,0.01742962443127422,-6.273628842571367,6.910874936321367,1.0,0.0,19.91006792136784,23.143147077902846,0.091796875,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,21841,720,0.03,numpy_tanh_mlp_width_32,0.012752623585390109,0.01742962443127422,-6.2866775990707975,6.9233963490707975,1.0,0.0,19.947479734041984,23.145329543255407,0.109375,0.010734352992763907,0.01348025345106802
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,21841,720,0.03,numpy_tanh_mlp_width_32,0.012752623585390109,0.01742962443127422,-6.294932524637901,6.932354399637901,1.0,0.0,19.996141992024185,23.139029291454978,0.0859375,0.015928848102063038,0.01933089115585349
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,22841,720,0.03,numpy_tanh_mlp_width_32,0.007833458717582238,0.03984142333259674,-6.31023521259022,6.947957109188451,0.9999642605122789,0.03262623464380634,20.056101820018743,23.271570250481936,0.06640625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,22841,720,0.03,numpy_tanh_mlp_width_32,0.007833458717582238,0.03984142333259674,-6.299379455690792,6.936994738385556,0.9999655822118456,0.03144581026696614,20.019403118797833,23.27123216732972,0.0703125,0.009665699377219507,0.013093408596123166
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,22841,720,0.03,numpy_tanh_mlp_width_32,0.007833458717582238,0.03984142333259674,-6.221352498229228,6.858665783147422,0.9999571293647742,0.0392418277250125,19.71630253235859,23.256933849254093,0.078125,0.039036071851413924,0.04695674124142089
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,23841,720,0.03,numpy_tanh_mlp_width_32,0.01376156464875602,0.03587754058551515,-6.345077016615306,6.983026235365306,1.0,0.0,20.146351318704145,23.379397262253356,0.068359375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,23841,720,0.03,numpy_tanh_mlp_width_32,0.01376156464875602,0.03587754058551515,-6.349632074202528,6.987522699202529,1.0,0.0,20.15406975244604,23.37849011789911,0.0703125,0.01337735204930267,0.01848669401103489
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,23841,720,0.03,numpy_tanh_mlp_width_32,0.01376156464875602,0.03587754058551515,-6.352029951746936,6.989374538524123,0.9999976631908982,0.0018984175254287555,20.134014129099032,23.371141154173287,0.087890625,0.036172242561824025,0.04497951052646738
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,24841,720,0.03,numpy_tanh_mlp_width_32,0.011208928347719008,0.02027624050065228,-6.285409996154842,6.92257030752785,0.9999819529841262,0.014887353408924615,19.95431401406154,23.216929885911537,0.08984375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,24841,720,0.03,numpy_tanh_mlp_width_32,0.011208928347719008,0.02027624050065228,-6.285133277381995,6.922227180018508,0.9999809761108143,0.015765616716938345,19.950720978136353,23.215703899358367,0.091796875,0.010306625502923076,0.013599156067567734
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,24841,720,0.03,numpy_tanh_mlp_width_32,0.011208928347719008,0.02027624050065228,-6.26739930403464,6.904640227856473,0.999984705321479,0.01257586251647233,19.901976308428402,23.21484922217364,0.087890625,0.01838621494292356,0.022922986092384173
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,25841,720,0.03,numpy_tanh_mlp_width_32,0.012927355263551947,0.02765328719109075,-6.297770216786582,6.9352907896017015,0.99997571613314,0.020936943866114277,20.015670107399224,23.22909018785981,0.076171875,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,25841,720,0.03,numpy_tanh_mlp_width_32,0.012927355263551947,0.02765328719109075,-6.328466483268133,6.965983574014969,0.9999752808746047,0.021309011420617897,20.128463048832167,23.226622527680966,0.076171875,0.012261449656157681,0.015151229732688102
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,25841,720,0.03,numpy_tanh_mlp_width_32,0.012927355263551947,0.02765328719109075,-6.241236654123269,6.878790734412862,0.9999725803486991,0.02354090572870559,19.81889340560692,23.21742199137887,0.07421875,0.026868165022365047,0.03556952302791207
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,26841,720,0.03,numpy_tanh_mlp_width_32,0.01626706607684076,0.02740781060532435,-6.222200504144112,6.859192483815398,0.9999316146464108,0.055286015421750656,19.76509504296653,23.032800701145504,0.08203125,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,26841,720,0.03,numpy_tanh_mlp_width_32,0.01626706607684076,0.02740781060532435,-6.259353469776203,6.896343850796611,0.9999314148150511,0.05544830119329126,19.901976189825863,23.035111803359385,0.08203125,0.018268017305728194,0.022036959114785273
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,26841,720,0.03,numpy_tanh_mlp_width_32,0.01626706607684076,0.02740781060532435,-6.203778332312478,6.840871439999491,0.9999442556483766,0.0450461418909515,19.709883231726476,23.041605919289672,0.08203125,0.02307903120588248,0.029713226357676304
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,27841,720,0.03,numpy_tanh_mlp_width_32,0.012890157858581339,0.024718162270605814,-6.301187471387337,6.937801651952158,0.9999649561643525,0.03127182061729095,19.992572710044158,23.247041713342046,0.103515625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,27841,720,0.03,numpy_tanh_mlp_width_32,0.012890157858581339,0.024718162270605814,-6.278164627054654,6.914917177002527,0.9999676038997343,0.028912820753274268,19.914279855273058,23.248150508078645,0.099609375,0.012230640117624045,0.015965373820106255
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,27841,720,0.03,numpy_tanh_mlp_width_32,0.012890157858581339,0.024718162270605814,-6.359482142728526,6.9964167714470005,0.9999683910898095,0.028207002925081062,20.217878977349443,23.2510265425458,0.09375,0.027358834438660513,0.033934004192956176
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,28841,720,0.03,numpy_tanh_mlp_width_32,0.010361089762385233,0.023817837737871154,-6.284126814546443,6.920432326125644,0.9999336967599003,0.052939184328563926,19.931180506559887,23.124357245888948,0.10546875,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,28841,720,0.03,numpy_tanh_mlp_width_32,0.010361089762385233,0.023817837737871154,-6.293659453650196,6.929981381251935,0.9999357487627172,0.05131500061085963,19.974371496191914,23.125156956763092,0.10546875,0.013068233612999568,0.017661989039115745
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,28841,720,0.03,numpy_tanh_mlp_width_32,0.010361089762385233,0.023817837737871154,-6.263634196543914,6.899922889772701,0.9999315944660984,0.05461029325256998,19.867518153356755,23.120947429562328,0.10546875,0.020769712053689098,0.025850266954058117
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,29841,720,0.03,numpy_tanh_mlp_width_32,0.014790659985412614,0.030946755486840987,-6.308138793229926,6.944497738309689,0.9999550243849706,0.0406573205042991,19.994380812732025,23.282462706679695,0.109375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,29841,720,0.03,numpy_tanh_mlp_width_32,0.014790659985412614,0.030946755486840987,-6.306066415283256,6.942488784959154,0.9999556282407372,0.04010727253136115,19.991776233824815,23.276885030759324,0.107421875,0.013120507450025859,0.017454557728646916
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,29841,720,0.03,numpy_tanh_mlp_width_32,0.014790659985412614,0.030946755486840987,-6.301603485771756,6.937572930364896,0.9999502821366425,0.0448295258310165,19.95057355230679,23.286313361780437,0.12109375,0.029286185144579736,0.03746118185531877
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,oracle_p_inventory,30841,720,0.03,numpy_tanh_mlp_width_32,0.009222688902335704,0.02859165201608363,-6.335641442591246,6.972647282876938,0.9999553198794616,0.0363346031834225,20.095615533219096,23.29077527282997,0.087890625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_direct_p_inventory,30841,720,0.03,numpy_tanh_mlp_width_32,0.009222688902335704,0.02859165201608363,-6.326835377789434,6.963667987532082,0.9999556387178308,0.03607584059909363,20.054520090329234,23.291237888783414,0.09375,0.009840183139555906,0.013542899392581152
same_architecture_neural_inventory_direct_p_vs_learned_z,0.1,neural_learned_z_inventory,30841,720,0.03,numpy_tanh_mlp_width_32,0.009222688902335704,0.02859165201608363,-6.347003409032452,6.983785611431912,0.9999566620186826,0.03521976311165059,20.109705052944758,23.293601686749852,0.095703125,0.023355507548437036,0.028805916104765263
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,13841,720,0.03,numpy_tanh_mlp_width_32,0.011005788102059896,0.0703380427207291,-6.30945566485425,6.946068282342068,0.9999574365609771,0.04007582018123892,20.01757328489861,23.19423415962315,0.1015625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,13841,720,0.03,numpy_tanh_mlp_width_32,0.011005788102059896,0.0703380427207291,-6.3091332947859975,6.945669297296531,0.9999551839075667,0.041885498824733816,20.010888207161614,23.19047700110389,0.103515625,0.011337089880271286,0.015173873900933535
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,13841,720,0.03,numpy_tanh_mlp_width_32,0.011005788102059896,0.0703380427207291,-6.191610040805973,6.827543222012978,0.9999530734321258,0.044537914970956265,19.55443688976625,23.181818000280323,0.123046875,0.07409796561740671,0.09419346454863782
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,14841,720,0.03,numpy_tanh_mlp_width_32,0.010269487308842924,0.07844970078854138,-6.344107141148762,6.981322326644269,0.9999814880306883,0.01630760656131266,20.11787730626589,23.39054776574647,0.087890625,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,14841,720,0.03,numpy_tanh_mlp_width_32,0.010269487308842924,0.07844970078854138,-6.359338988868764,6.996676011993667,0.999982069296863,0.01579683053260663,20.175683106300617,23.393156800060627,0.083984375,0.01113262938270172,0.013776782030136898
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,14841,720,0.03,numpy_tanh_mlp_width_32,0.010269487308842924,0.07844970078854138,-6.102771251158147,6.739514601278825,0.9999811023588348,0.01663262978004873,19.24534099209707,23.378102088939357,0.103515625,0.08875980223361506,0.10661125108761332
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,15841,720,0.03,numpy_tanh_mlp_width_32,0.01263349789896248,0.06279258291539822,-6.322893798472619,6.960104360597619,0.9999735858906249,0.023572395482698183,20.069410853579157,23.347580024615098,0.0859375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,15841,720,0.03,numpy_tanh_mlp_width_32,0.01263349789896248,0.06279258291539822,-6.332902707621185,6.970106666712478,0.9999727605114117,0.02428555129130061,20.098856010430097,23.347481987058814,0.0859375,0.00982361571554061,0.013046156776248373
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,15841,720,0.03,numpy_tanh_mlp_width_32,0.01263349789896248,0.06279258291539822,-6.25952504469715,6.896791631947552,0.9999732648125503,0.023849029733336545,19.84204479211633,23.342101485342898,0.083984375,0.0533380096980723,0.06804299498509074
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,16841,720,0.03,numpy_tanh_mlp_width_32,0.011445713050569063,0.08417772886983758,-6.26450742059874,6.901719368833962,0.9999884075919029,0.010465688837552993,19.886241348237,23.171227231105476,0.08984375,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,16841,720,0.03,numpy_tanh_mlp_width_32,0.011445713050569063,0.08417772886983758,-6.24110681987637,6.878557640543294,0.9999889697708656,0.009954609814314078,19.810275107209932,23.16885906573147,0.08203125,0.011139604243388505,0.014238108520306561
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,16841,720,0.03,numpy_tanh_mlp_width_32,0.011445713050569063,0.08417772886983758,-6.337346142308972,6.975066679181128,0.9999933874215196,0.005912652111441596,20.151797806811228,23.204695209369596,0.07421875,0.05935466980685008,0.07625419235328744
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,oracle_p_inventory,17841,720,0.03,numpy_tanh_mlp_width_32,0.009541868235243103,0.07397395223307912,-6.322079487150194,6.95910726974533,0.9999873595431419,0.011084626751572041,20.064671329171727,23.33701825551453,0.095703125,0.0,0.0
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_direct_p_inventory,17841,720,0.03,numpy_tanh_mlp_width_32,0.009541868235243103,0.07397395223307912,-6.294122755455672,6.9310315154309965,0.9999871301531655,0.011276288497933266,19.96650942416485,23.334464106910016,0.099609375,0.009950206374209961,0.012446426810463034
same_architecture_neural_inventory_direct_p_vs_learned_z,0.01,neural_learned_z_inventory,17841,720,0.03,numpy_tanh_mlp_width_32,0.009541868235243103,0.07397395223307912,-6.368875317177553,7.00611732621077,0.9999848409729022,0.013343153017599349,20.23256818249225,23.320013020226114,0.087890625,0.051814131037265065,0.08239053860334937
