epsilon,preference_z_rms,analytic_p_rmse,z_inversion_p_rmse,direct_p_rmse,z_inversion_theta_rmse,direct_p_theta_rmse,z_over_direct_theta_rmse_ratio
1,0.65482822175,0,0.0048515182323,0.00686108288221,0.00242575911615,0.00343054144111,0.707106781187
0.1,0.207074865689,0,0.0153418477239,0.00686108288221,0.00767092386194,0.00343054144111,2.2360679775
0.01,0.065482822175,0,0.048515182323,0.00686108288221,0.0242575911615,0.00343054144111,7.07106781187
0.001,0.0207074865689,0,0.153418477239,0.00686108288221,0.0767092386194,0.00343054144111,22.360679775
0.0001,0.0065482822175,0,0.48515182323,0.00686108288221,0.217679644173,0.00343054144111,63.4534366981
