method,horizon,state_count,action_count,expected_total_welfare,expected_avg_welfare,theta_free_expected_total_cost,theta_free_expected_avg_cost,fill_rate,expected_unmet_demand,expected_theta
exact_dp_action_only_fixed_theta,8,88,8,-2.15509134876,-0.269386418594,6.64451888162,0.830564860203,0.996935858332,0.391367357585,1
exact_dp_dynamic_shortage_penalty_only,8,88,4,-69.7570253845,-8.71962817307,65.3367353354,8.16709191693,0.434828143779,24.7688475128,0.827660721753
exact_dp_full_order_and_valuation_control,8,88,32,-2.03428714159,-0.254285892698,6.64451888162,0.830564860203,0.996935858332,0.391367357585,1.35
