method,seed,mean_utility,cew,sharpe,max_drawdown,adaptation_lag,regime_detection_acc
full_ndu_joint,1023,0.011357076626379005,0.01142181306122736,1.4435386819543483,0.0,0.5,0.6156412760416667
full_ndu_joint,2023,0.011333646864618152,0.01139811596671736,1.443375672974064,0.0,0.5,0.6170247395833334
full_ndu_joint,3023,0.011334534939095052,0.011399014163968824,1.443375672974064,0.0,0.5,0.61376953125
full_ndu_joint,4023,0.010251133721884957,0.01030385659558064,1.320301671926582,-0.0018921548634755767,0.5,0.5859375
full_ndu_joint,5023,0.011173697984218283,0.01123635690736502,1.4423403375877248,-7.310399560592467e-06,0.5,0.622314453125
full_ndu_joint,6023,0.01121817088532169,0.011281330521903943,1.4447191396539465,-4.986030666962295e-05,0.5,0.6260579427083334
full_ndu_joint,7023,0.011347274541132053,0.011411899066984033,1.443375672974064,0.0,0.5,0.5977376302083333
full_ndu_joint,8023,0.011226352683026453,0.01128960465502149,1.443375672974064,0.0,0.5,0.5869954427083333
full_ndu_joint,9023,0.011308884461557067,0.011373071628994813,1.443375672974064,0.0,0.5,0.602783203125
full_ndu_joint,10023,0.011326197619811294,0.011390581842616099,1.443375672974064,0.0,0.5,0.592041015625
full_ndu_joint,11023,0.011349918258328897,0.011414572957549218,1.443375672974064,0.0,0.5,0.600830078125
full_ndu_joint,12023,0.01122932521560091,0.011292610750781362,1.443375672974064,0.0,0.5,0.6050618489583333
full_ndu_joint,13023,0.01131265057108027,0.011376880577923743,1.443375672974064,0.0,0.5,0.611572265625
full_ndu_joint,14023,0.011270540564527688,0.011334292387556344,1.443375672974064,0.0,0.5,0.622314453125
full_ndu_joint,15023,0.011322088338419443,0.01138642576265747,1.443375672974064,0.0,0.5,0.6110026041666667
full_ndu_joint,16023,0.011334806234255212,0.011399288551663611,1.443375672974064,0.0,0.5,0.6283365885416667
full_ndu_joint,17023,0.01125399572865092,0.011317560166088425,1.443375672974064,0.0,0.5,0.6058756510416667
full_ndu_joint,18023,0.011318814412509294,0.011383114563853214,1.443375672974064,0.0,0.5,0.6080729166666667
full_ndu_joint,19023,0.011247087265705964,0.011310573540332047,1.443375672974064,0.0,0.5,0.614990234375
full_ndu_joint,20023,0.011304725453573427,0.01136886532906245,1.443375672974064,0.0,0.5,0.6146647135416667
full_ndu_joint,21023,0.011076933994723018,0.011138510377234567,1.443375672974064,0.0,0.5,0.607177734375
full_ndu_joint,22023,0.011228155695901253,0.01129142802484262,1.443375672974064,0.0,0.5,0.6104329427083333
full_ndu_joint,23023,0.01130018955920598,0.011364277877126794,1.443375672974064,0.0,0.5,0.6102701822916667
full_ndu_joint,24023,0.0113226686614484,0.011387012693661713,1.443375672974064,0.0,0.5,0.600830078125
full_ndu_joint,25023,0.011307881345027474,0.011372057104457767,1.443375672974064,0.0,0.5,0.6123046875
full_ndu_joint,26023,0.011321214527765026,0.011385542002809057,1.4407812530131685,-3.221160113263139e-05,0.5,0.5938313802083334
full_ndu_joint,27023,0.011199199143103699,0.01126214493518396,1.443375672974064,0.0,0.5,0.6167805989583333
full_ndu_joint,28023,0.011194808825034923,0.01125770518246294,1.443375672974064,0.0,0.5,0.621337890625
full_ndu_joint,29023,0.011297188003739994,0.011361242215706335,1.443375672974064,0.0,0.5,0.6048990885416666
