method,seed,mean_utility,cew,sharpe,max_drawdown,adaptation_lag,regime_detection_acc
matched_budget_safe_oracle_lower_bound,1063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,2063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,3063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,4063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,5063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,6063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,7063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,8063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,9063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,10063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,11063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,12063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,13063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,14063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,15063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,16063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,17063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,18063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,19063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,20063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,21063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,22063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,23063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,24063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,25063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,26063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,27063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,28063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,29063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
matched_budget_safe_oracle_lower_bound,30063,0.011373815268711599,0.011438743030895537,1.443375672974064,0.0,0.5,1.0
